    ccyy   conc_dhi_dhi   conc_dhi_hmc   conc_dhi_hmc_medianized_predict   conc_dhi_hmc_wor   conc_dhi_hmc_wor_pred   conc_dhi_inc_5_ours   conc_dhi_inc_5_ours_pred   conc_dhi_inc_5_ours_wor   conc_dhi_inc_5_ours_wor_pred   conc_dhi_tax_eff_ours   conc_dhi_tax_eff_ours_pred   conc_dhi_tax_eff_ours_wor   conc_dhi_tax_eff_ours_wor_pred   gini_dhi_scope_hmc   gini_inc1   gini_inc2   gini_inc3   gini_inc4   gini_inc_5_ours   gini_inc_5_ours_pred   gini_inc_5_ours_wor   gini_inc_5_ours_wor_pred   mean_dhi   mean_hchous   mean_hitp   mean_hmc   mean_hmc_pred_scaled   mean_hmc_scaled   mean_hmc_wor_pred_scaled   mean_hmc_wor_scaled   mean_hmchous   mean_inc1   mean_inc2   mean_inc3   mean_inc4   mean_scope  
    pe13       .4542283       .2978192                          .2925717           .2938505                       .                     .                          .                         .                              .                       .                            .                           .                                .             .4542283           .           .           .    .4542282                 .                      .                     .                          .   13856.83      3814.946    516.8126   9873.938                      0                 0                          0                     0       962.4282           0           0           0    13856.83     .9723448  
    pl13       .3159042        .211857                          .1765426           .2304504                 .176998              .3382314                   .3458094                  .3342041                        .345651                 .211857                     .1765426                    .2304504                          .176998             .3159042           .           .           .      .31606          .3433742               .3544621              .3409802                   .3543854   27735.27      4430.783    988.3005   20500.09               27589.66          27589.66                   27220.86              27220.86       4355.095           0           0           0    27693.36     .9911134  
    ro97       .2838444       .2326644                          .2559942           .2123116                       .                     .                          .                         .                              .                       .                            .                           .                                .             .2838444           .           .           .           .                 .                      .                     .                          .    8209499       1051898           0    8202150                      0                 0                          0                     0        1051898           0           0           0           0            1  
    rs13       .3340643       .1529921                          .1870358           .1573389                       .                     .                          .                         .                              .                       .                            .                           .                                .             .3340643           .           .           .           .                 .                      .                     .                          .   396798.7      142648.5    6763.286   371394.4                      0                 0                          0                     0       58899.22           0           0           0           0     .9259969  
    si12       .2710829       .1223082                          .1267561           .1472688                .1277786              .3150245                   .3137108                  .3076244                       .3133766                .1223082                     .1267561                    .1472688                         .1277786             .2710829           .           .           .           .          .3237091               .3273549              .3189945                   .3271832   14571.81      3530.273    57.12783   11359.59               13771.37          13771.37                   13667.76              13667.76       1824.735           0           0           0           0            1  
    za12       .6072714       .4990238                          .4174406           .4986001                       .              .6309652                   .6488225                         .                              .                .4990238                     .4174406                           .                                .             .6072714           .           .           .           .           .641779               .6533888                     .                          .   40819.94      9937.521           0   25897.97               41776.68          41776.68                          0                     0       3802.222           0           0           0           0     .9283788  
    es90       .3039566       .1800192                          .1803724           .1799955                       .                     .                          .                         .                              .                       .                            .                           .                                .             .3039566           .           .           .           .                 .                      .                     .                          .    1042807      309397.1    12110.95    1081779                      0                 0                          0                     0         127047           0           0           0           0     .9985426  
    ch04       .2628068       .1382533                          .1227893           .1591944                       .               .276332                   .2780112                         .                              .                .1382533                     .1227893                           .                                .             .2628068           .           .           .    .2629113          .2785806               .2810489                     .                          .   50353.64      7805.196    1155.609   36143.63               44725.27          44725.27                          0                     0       7805.195           0           0           0    50362.24     .9933079  
    tw13       .3076878       .1856328                          .1732548           .1925914                       .                     .                          .                         .                              .                       .                            .                           .                                .             .3076878           .           .           .    .3077975                 .                      .                     .                          .   471767.7      101149.4     31907.8   332333.1                      0                 0                          0                     0       28220.24           0           0           0    471691.2     .9991519  
    uk95       .3430849        .218175                          .1856225           .2460226                .1907343              .3667633                   .3729341                     .3613                       .3716756                 .218175                     .1856225                    .2460226                         .1907343             .3430849           .           .           .     .337061          .3703279               .3788061              .3666055                   .3779796   10483.53      1946.756    87.45526   10171.38               9601.184          9601.184                   9057.153              9057.153       1946.699           0           0           0    12102.72      .988374  
