    ccyy   agecat      hmc_q      dhi_q   hmchous_q   hmc_medianized_predict_q   hmc_wor_pred_scaled_q  
    at04        1          .    18513.2    3186.896                    .981935                16270.77  
    at04       30          .   22230.78    2691.575                   1.107814                18551.54  
    at04       50          .    25556.3    2793.643                   1.207211                20246.13  
    at04       65          .   21457.51    2855.297                   1.059242                17677.39  
    at07        1          .   18985.68    3532.347                   .9425625                16610.84  
    at07       30          .   24990.02    2930.457                   1.108321                19802.83  
    at07       50          .   28157.77    3029.604                   1.177451                21056.53  
    at07       65          .   20768.93    3078.717                    1.01084                17971.19  
    at10        1          .   19828.99    4143.584                   .9040291                18136.61  
    at10       30          .   27171.29    3399.498                   1.090538                22272.26  
    at10       50          .   31943.45     3509.82                   1.191569                24386.04  
    at10       65          .   24410.87    3387.339                   1.043121                21270.42  
    at13        1          .   21625.69    4464.433                   .9344079                20332.42  
    at13       30          .   28093.73    3625.328                   1.074839                23785.86  
    at13       50          .   33471.43    3726.039                   1.187681                26356.73  
    at13       65          .   27497.95    3829.857                   1.077965                23803.94  
    au01        1          .   27932.32    3706.162                   1.677866                28699.15  
    au01       30          .   27445.07    1824.556                     1.2949                22839.72  
    au01       50          .   31853.03    1422.579                   1.284156                22908.33  
    au01       65          .   19355.34    1047.185                   .9386477                16739.82  
    au03        1          .   30011.97    4347.028                   1.722475                32686.27  
    au03       30          .   29567.29    2052.885                   1.297335                25372.39  
    au03       50          .   33927.22    1569.538                   1.273802                25187.47  
    au03       65          .   21472.84    1226.454                   .9494478                18738.96  
    au08        1          .   47289.71    6621.579                   1.091662                31959.42  
    au08       30          .   48448.13    3065.757                   1.147004                36085.68  
    au08       50          .   54553.31    2042.553                   1.262698                40583.56  
    au08       65          .   31372.61    1613.428                   .9981018                32080.05  
    au10        1   38349.91   49998.53    8015.792                   1.105364                33919.21  
    au10       30   36485.24   49915.71    4253.565                    1.14094                 37095.3  
    au10       50   40450.75   57885.49    2843.953                   1.280395                 42629.8  
    au10       65    26085.8   33829.88    2089.118                   1.017508                 33965.8  
    au89        1          .    18063.9    3779.237                   1.018801                12549.24  
    au89       30          .   18920.17    2880.875                   1.163563                14832.61  
    au89       50          .    22140.6    1283.174                   1.221075                16172.22  
    au89       65          .    14093.5    371.4396                   .9191064                12380.04  
    au95        1          .   21793.77    2891.813                   1.630928                21888.72  
    au95       30          .   21536.73    1381.189                   1.254227                17393.94  
    au95       50          .      23921    1038.235                   1.219796                17119.48  
    au95       65          .   15171.77    896.5596                   .9449571                13200.79  
    ch00        1   37078.74   47884.18    10587.04                   1.260153                       .  
    ch00       30   33118.32    48942.7    7484.828                   1.072688                       .  
    ch00       50    38350.4   56499.99     6895.49                   1.060641                       .  
    ch00       65   33041.19   40098.63    7777.974                   .9406105                       .  
    ch02        1   35011.02   50999.45    10159.05                   1.238089                       .  
    ch02       30   34460.33   52424.48    7334.745                    1.07372                       .  
    ch02       50   38032.54    58044.7    7029.552                   1.070352                       .  
    ch02       65   32744.34    42040.7    8020.813                   .9580139                       .  
    ch04        1   38372.68   49063.43    11063.04                   1.259416                       .  
    ch04       30   35375.38   49734.76    7870.192                   1.065339                       .  
    ch04       50   39468.97   57322.77    6778.364                   1.043919                       .  
    ch04       65   32252.01   42035.45    7479.233                   .9329946                       .  
    ch07        1          .   46950.83    12169.49                   .9270209                       .  
    ch07       30          .   56331.29    12306.69                   1.104499                       .  
    ch07       50          .   68625.92    12534.25                   1.238835                       .  
    ch07       65          .   50032.57    10931.19                   .9949042                       .  
    ch10        1          .   50263.06    12695.16                   1.063087                       .  
    ch10       30          .   60618.15     10015.2                   1.101583                       .  
    ch10       50          .   69026.32    8580.463                   1.128105                       .  
    ch10       65          .   48725.15    9039.913                     1.0056                       .  
    ch13        1          .   50279.87    13019.45                    1.05602                       .  
    ch13       30          .   59913.64    9632.709                   1.082945                       .  
    ch13       50          .   70314.38    8752.989                   1.146154                       .  
    ch13       65          .   52370.18    8918.976                   1.046992                       .  
    ch92        1          .   39185.28    8876.527                   1.062589                       .  
    ch92       30          .   40183.55    8892.591                   1.130033                       .  
    ch92       50          .   47486.64    9008.244                   1.207037                       .  
    ch92       65          .    39204.7    7881.929                    .992768                       .  
    co07        1          .    4934840    631368.4                   1.210263                       .  
    co07       30          .    6236918    514080.8                   1.412613                       .  
    co07       50          .    7633211    344480.8                   1.568418                       .  
    co07       65          .    6901501    186867.1                   1.513939                       .  
    cz04        1          .   153418.2    40038.93                    1.08072                139965.8  
    cz04       30          .   148831.1    34256.82                   1.042909                135753.7  
    cz04       50          .   175524.1    34704.29                   1.100284                143446.6  
    cz04       65          .   121906.4    32884.07                   .9031724                117061.5  
    cz07        1          .   204435.3    40815.39                   1.071235                187786.9  
    cz07       30          .   220405.4    37539.79                   1.116258                196601.3  
    cz07       50          .   246227.2    41042.16                   1.196734                  210628  
    cz07       65          .   160916.7    38083.39                   .9480172                165824.5  
    cz10        1          .   232797.7    50356.62                   1.111966                212984.1  
    cz10       30          .     249320    41601.68                   1.111193                214544.3  
    cz10       50          .   270976.8    46798.19                   1.187747                228868.5  
    cz10       65          .   194887.7    44616.04                   .9877298                189210.5  
    cz13        1          .   236674.3    56714.79                   1.093694                227718.1  
    cz13       30          .   264910.6    44701.38                    1.11981                  235524  
    cz13       50          .   282973.9    47563.09                   1.168831                245673.9  
    cz13       65          .   207933.9    47735.91                   .9974136                208377.8  
    de00        1          .   27922.76    6911.544                   .9410709                24771.41  
    de00       30          .    37637.6    6544.506                   1.066643                28581.73  
    de00       50          .   42438.12    7107.133                   1.198558                32213.18  
    de00       65          .   33118.11    6887.159                   1.074049                28663.79  
    de04        1          .    14307.2    4137.726                   .9305378                13001.93  
    de04       30          .   20520.42    3630.926                   1.068696                15351.19  
    de04       50          .      23653    3877.607                   1.209864                17466.02  
    de04       65          .   18892.62    3929.629                   1.094324                15640.26  
    de07        1          .   15610.65     4157.65                   .9299363                13983.81  
    de07       30          .   21867.05    3742.882                   1.056759                16256.98  
    de07       50          .   25690.76    4183.788                   1.225915                18918.24  
    de07       65          .    19848.9     4133.68                   1.097856                16797.77  
    de10        1          .   15843.25      4766.3                    .916928                14592.52  
    de10       30          .   23697.26     4306.49                   1.066278                17394.11  
    de10       50          .   25654.53    4505.159                   1.175233                19254.44  
    de10       65          .   20229.98    4775.206                   1.081944                17510.37  
    de13        1          .   17428.67    4730.924                   .9344928                15634.34  
    de13       30          .   24049.82     4329.48                   1.068017                18246.83  
    de13       50          .   27636.89    4382.335                   1.189957                20485.29  
    de13       65          .    21648.9    4628.524                   1.089944                18547.61  
    de84        1          .   19528.88    3401.617                    1.07996                       .  
    de84       30          .    23744.1    2624.511                   1.059486                       .  
    de84       50          .   25643.36    2723.499                   1.164683                       .  
    de84       65          .   20153.38    2964.901                   1.048671                       .  
    de89        1          .   25335.71    4896.065                   1.045193                       .  
    de89       30          .   28726.11    4213.917                   1.070198                       .  
    de89       50          .   30182.51    4390.606                   1.143733                       .  
    de89       65          .   24705.27    4834.461                   1.049976                       .  
    de94        1          .   27479.84    6235.942                   1.020119                       .  
    de94       30          .   32980.74    6101.889                   1.089206                       .  
    de94       50          .   36893.87    6078.619                   1.208659                       .  
    de94       65          .   28506.05    6315.285                    1.06474                       .  
    dk04        1          .   163282.3    21211.35                   .9162725                151989.1  
    dk04       30          .   209486.3    16778.93                   1.105013                190642.8  
    dk04       50          .     242668    19057.17                   1.251856                215936.4  
    dk04       65          .   157661.3    24336.41                   1.024375                169401.5  
    do07        1   80861.63   77328.94     5171.55                   1.080678                       .  
    do07       30   103661.8   112734.1    8541.912                   1.429923                       .  
    do07       50   103022.3   124777.2    7523.454                   1.524203                       .  
    do07       65   78183.45   93778.52    6738.347                   1.268679                       .  
    ee00        1   50044.61   52186.36    6763.171                   1.192013                50058.23  
    ee00       30   48554.91   49372.44    5595.266                   1.147859                48322.86  
    ee00       50    46318.9   46455.53     6904.07                   1.164397                48859.95  
    ee00       65   29719.15   31169.96    5465.503                   .9023848                37850.59  
    ee04        1          .   73419.45    8586.331                   1.141122                77093.08  
    ee04       30          .   72614.95    8681.617                   1.187983                 80293.1  
    ee04       50          .   68369.12     9036.55                   1.158119                78198.59  
    ee04       65          .   42419.11    7804.587                   .8706499                58653.86  
    ee07        1          .   125062.5    11999.62                   1.126225                122714.2  
    ee07       30          .   124556.4    10887.93                   1.173893                  128365  
    ee07       50          .   112603.6    11033.87                   1.124944                122843.1  
    ee07       65          .    67560.3    10069.91                   .8730394                94910.28  
    ee10        1          .     115829    14989.14                   1.099244                106204.1  
    ee10       30          .   129402.6    13599.33                   1.192584                115574.4  
    ee10       50          .   112943.5    14378.31                   1.120623                  108389  
    ee10       65          .   81639.88    13263.94                   .9199816                88789.41  
    ee13        1          .   9817.676    1172.686                   1.115573                9663.755  
    ee13       30          .   11180.74    1056.225                   1.224649                10653.32  
    ee13       50          .   10189.33    1077.783                   1.145717                9949.356  
    ee13       65          .   6012.887    1001.318                   .8790872                7600.246  
    es04        1          .   14359.82    2045.783                   1.182785                13401.51  
