ccyy,scope,error0_mean,error1_mean,error2_mean,corr0_mean,corr1_mean,corr2_mean,R2_0_mean,R2_1_mean,R2_2_mean,non_missing_hmc_mean,non_missing_hmc_pred0_mean,non_missing_hmc_pred1_mean,non_missing_hmc_pred2_mean,gini_dhi_scope_hmc
mx10,.97836781,1.1083242,.77134974,.77875675,.73360252,.78683865,.79039651,.53817266,.61911505,.62472665,1,1,1,1,.46167822
mx12,.97459295,1.219944,.88483831,.8981433,.75022763,.7778458,.78075564,.56284148,.60504407,.60957938,1,1,1,1,.46876276
nl83,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
nl87,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
nl90,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
nl93,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
nl04,.99106583,.,.,.,.,.,.,.,.,.,0,1,1,1,.
nl07,.99371634,.,.,.,.,.,.,.,.,.,0,1,1,1,.
nl10,.99098114,.,.,.,.,.,.,.,.,.,0,1,1,1,.
nl13,.9919506,.,.,.,.,.,.,.,.,.,0,1,1,1,.
no79,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
no86,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
no91,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
no95,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
no00,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
no04,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
no07,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
no10,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
no13,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
pa07,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
pa10,.99452075,.,.,.,.,.,.,.,.,.,0,1,1,1,.
pa13,.98696683,.,.,.,.,.,.,.,.,.,0,1,1,1,.
py10,.97756706,.,.,.,.,.,.,.,.,.,0,1,1,1,.
py13,.9728242,.,.,.,.,.,.,.,.,.,0,1,1,1,.
pe04,.91741172,.65194485,.56539815,.53217921,.76784223,.82527417,.82577419,.58958167,.68107748,.681903,1,1,1,1,.53571145
pe07,.97420882,.53659995,.51022452,.47716637,.77083945,.81712574,.82148772,.59419346,.66769445,.67484206,1,1,1,1,.50869092
pe10,.96343231,.42674504,.37744981,.36426069,.74304575,.79918605,.80226731,.55211699,.63869834,.64363283,1,1,1,1,.47693731
pe13,.97230426,.51917522,.45301471,.43907022,.7036503,.76077229,.76436853,.49512374,.57877445,.58425927,1,1,1,1,.45422796
pl86,.99991228,.,.,.,.,.,.,.,.,.,0,1,1,1,.
