"QUANTILE","GEO","TIME","INDIC_IL","CURRENCY","Value"
"D3","FI","1998","Part du revenu national total équivalent","Euro","7"
"D4","FI","1998","Part du revenu national total équivalent","Euro","8"
"D5","FI","1998","Part du revenu national total équivalent","Euro","9"
"D6","FI","1998","Part du revenu national total équivalent","Euro","10"
"D7","FI","1998","Part du revenu national total équivalent","Euro","11"
"D8","FI","1998","Part du revenu national total équivalent","Euro","12"
"D9","FI","1998","Part du revenu national total équivalent","Euro","14"
"D10","FI","1998","Part du revenu national total équivalent","Euro","19"
"D1","SE","1998","Part du revenu national total équivalent","Euro",":"
"D2","SE","1998","Part du revenu national total équivalent","Euro",":"
"D3","SE","1998","Part du revenu national total équivalent","Euro",":"
"D4","SE","1998","Part du revenu national total équivalent","Euro",":"
"D5","SE","1998","Part du revenu national total équivalent","Euro",":"
"D6","SE","1998","Part du revenu national total équivalent","Euro",":"
"D7","SE","1998","Part du revenu national total équivalent","Euro",":"
"D8","SE","1998","Part du revenu national total équivalent","Euro",":"
"D9","SE","1998","Part du revenu national total équivalent","Euro",":"
"D10","SE","1998","Part du revenu national total équivalent","Euro",":"
"D1","UK","1998","Part du revenu national total équivalent","Euro","3"
"D2","UK","1998","Part du revenu national total équivalent","Euro","5"
"D3","UK","1998","Part du revenu national total équivalent","Euro","6"
"D4","UK","1998","Part du revenu national total équivalent","Euro","7"
"D5","UK","1998","Part du revenu national total équivalent","Euro","8"
"D6","UK","1998","Part du revenu national total équivalent","Euro","9"
"D7","UK","1998","Part du revenu national total équivalent","Euro","11"
"D8","UK","1998","Part du revenu national total équivalent","Euro","13"
"D9","UK","1998","Part du revenu national total équivalent","Euro","15"
"D10","UK","1998","Part du revenu national total équivalent","Euro","24"
