    ccyy   conc_dhi_dhi   conc_dhi_hmc_wor   conc_dhi_hmc_wor_pred   conc_dhi_inc_5_ours_wor   conc_dhi_inc_5_ours_wor_pred   conc_dhi_tax_eff_ours_wor   conc_dhi_tax_eff_ours_wor_pred   gini_dhi_scope_hmc   gini_inc2   gini_inc3   gini_inc_5_ours_wor   gini_inc_5_ours_wor_pred   mean_dhi   mean_hmc_wor_pred_scaled   mean_hmc_wor_scaled   mean_scope   varlog_dhi   varlog_inc1   varlog_inc2   varlog_inc3   varlog_inc4   varlog_inc_5_ours   varlog_inc_5_ours_pred   varlog_inc_5_ours_wor   varlog_inc_5_ours_wor_pred  
    fi91       .2087856                  .                       .                         .                              .                           .                                .                    .           .           .                     .                          .   88886.86                          0                     0     .9994943     .1696403             .             .             .      .1753076                   .                        .                       .                            .  
    fi13              .                  .                       .                         .                              .                           .                                .                    .           .           .                     .                          .          .                          .                     .            0            .             .             .             .             .                   .                        .                       .                            .  
    fr84       .3321258           .1968288                 .210469                  .3587496                       .3560655                    .1968288                          .210469             .3321258           .           .              .3630029                   .3638569    70209.9                   56652.45              56652.45     .9383462     .4603959             .             .             .             .            .4898441                 .5232821                .4704147                     .5313717  
    fr89       .2816572           .2334129                .2045988                  .2917046                       .2977055                    .2334129                         .2045988             .2816572           .           .              .2969515                   .3067426   82707.16                   68996.15              68996.15     .9411694     .3268004             .             .             .             .            .3326078                 .3843583                 .320581                     .3848309  
    fr00       .2770811           .2059353                 .166572                  .2912484                       .2990868                    .2059353                          .166572             .2770811    .3912527    .3492538              .2969544                   .3071263   113482.8                   91925.66              91925.66     .9986218     .2662433       2.65719      1.121687      .4396407      .2680496             .327155                 .3954208                .3102161                     .3632284  
    fr05        .280323            .194306                .1676767                  .2966019                       .3016416                     .194306                         .1676767              .280323    .3806109    .3393632              .3044147                   .3088294   19572.89                   15790.52              15790.52     .9997249     .2798579      2.674356      1.012377      .4214824      .2796991            .3849799                 .4126331                .3531902                     .3982343  
    fr10       .2859335            .185292                .2021908                  .3030901                       .3002093                     .185292                         .2021908             .2859335    .3824221    .3498489              .3074452                   .3070281   24756.43                   19421.43              19421.43     .9097843     .3109716      3.034487      1.070013      .4714454      .3109716            .3867782                 .3709375                 .371724                     .3797219  
    de84       .2530751                  .                       .                         .                              .                           .                                .                    .           .           .                     .                          .    23121.5                          0                     0      .980434     .2889802             .             .             .       .288979                   .                        .                       .                            .  
    de89       .2535397                  .                       .                         .                              .                           .                                .                    .           .           .                     .                          .   27929.13                          0                     0     .9517543     .2443167             .             .             .      .2443165                   .                        .                       .                            .  
    de94       .2601657                  .                       .                         .                              .                           .                                .                    .           .           .                     .                          .   32394.77                          0                     0     .8980284     .2504854             .             .             .      .2504852                   .                        .                       .                            .  
    de00       .2555656                  .                .1627155                         .                       .2702619                           .                         .1627155                    .    .3548279    .3255912                     .                   .2767188   37240.86                   29188.66                     0     .9008735     .2412237      3.933818      .8059716        .40563      .2412231                   .                 .3248374                       .                      .325722  
    de04       .2715602                  .                .1729124                         .                       .2862789                           .                         .1729124                    .    .3813075    .3443782                     .                   .2916001   20433.69                   15712.84                     0     .8828816     .2562823       4.12466      .9629787      .4316023      .2562823                   .                 .3389961                       .                     .3339821  
    de07       .2852896                  .                 .173724                         .                       .3034063                           .                          .173724                    .    .3874021    .3501093                     .                   .3096332   21818.53                   16831.34                     0     .8732603     .2740022       4.03839      .8969007      .4335358      .2740022                   .                   .35203                       .                     .3465875  
    de10       .2839654                  .                .1755022                         .                       .3012057                           .                         .1755022                    .    .3851044    .3476541                     .                   .3072355   22938.07                   17759.25                     0     .8885692     .2913111      4.297949      .9229372      .4502278      .2913111                   .                 .3756304                       .                     .3736623  
    de13       .2892449                  .                .1816794                         .                       .3069239                           .                         .1816794                    .    .3949061    .3564766                     .                   .3131571   23995.86                    18772.8                     0     .9206033      .287527      4.582183      .9566039      .4567949       .287527                   .                 .3856016                       .                     .3818154  
    gr07       .3199808                  .                .1696948                         .                       .3492258                           .                         .1696948                    .     .374169    .3712265                     .                   .3556941   14852.73                   13992.05                     0     .9690217     .3618894      1.173785      .4895903      .4662686      .3618398                   .                 .4977374                       .                     .5155206  
    gr10       .3153971                  .                .1874029                         .                        .341542                           .                         .1874029                    .    .3725927    .3611271                     .                   .3491071   14507.41                   14143.94                     0     .9595135     .4230202      1.481067      .5269434      .4957261      .4230374                   .                 .5125722                       .                     .5116857  
    gr13       .3335077                  .                .1857142                         .                       .3738747                           .                         .1857142                    .    .3934283    .3809656                     .                   .3867924   10580.17                   11204.16                     0     .9829276     .4354347      1.344059      .5840673      .5571648      .4354178                   .                 .7009901                       .                     .7064991  
    gt06        .488336           .3472835                       .                         .                              .                           .                                .              .488336           .           .                     .                          .   21435.52                          0                     0      .996502      .798752             .             .             .       .798752                   .                        .                       .                            .  
    gt11       .5268857                  .                       .                         .                              .                           .                                .                    .           .           .                     .                          .   22615.42                          0                     0     .9867277     1.041206             .             .             .      1.039844                   .                        .                       .                            .  
    gt14       .4150831           .2572596                       .                         .                              .                           .                                .             .4150831           .           .                     .                          .   23969.26                          0                     0     .9974914     .5067965             .             .             .      .5066109                   .                        .                       .                            .  
    hu91       .2877042           .1523681                       .                         .                              .                           .                                .             .2877042           .           .                     .                          .   203797.5                          0                     0     .9849521     .3182237             .             .             .             .                   .                        .                       .                            .  
    hu94       .3249553           .1697693                       .                         .                              .                           .                                .             .3249553           .           .                     .                          .   313222.2                          0                     0     .9425769     .3908671             .             .             .             .                   .                        .                       .                            .  
    hu05              .                  .                       .                         .                              .                           .                                .                    .           .           .                     .                          .          .                          .                     .            0            .             .             .             .             .                   .                        .                       .                            .  
    hu07              .                  .                       .                         .                              .                           .                                .                    .           .           .                     .                          .          .                          .                     .            0            .             .             .             .             .                   .                        .                       .                            .  
    hu09              .                  .                       .                         .                              .                           .                                .                    .           .           .                     .                          .          .                          .                     .            0            .             .             .             .             .                   .                        .                       .                            .  
    hu12              .                  .                       .                         .                              .                           .                                .                    .           .           .                     .                          .          .                          .                     .            0            .             .             .             .             .                   .                        .                       .                            .  
    is07       .2733198                  .                 .167899                         .                       .3123991                           .                          .167899                    .    .3129407    .2977805                     .                   .3417303    3806754                    3712954                     0      .930254      .246166      1.256221      .3689507      .3154347       .247542                   .                 .4383091                       .                     .4526646  
    is10              .                  .                       .                         .                              .                           .                                .                    .           .           .                     .                          .          .                          .                     .            0            .             .             .             .             .                   .                        .                       .                            .  
    in04       .4866973           .2123753                       .                         .                              .                           .                                .             .4866973           .           .                     .                          .   23163.83                          0                     0     .9713284     .8585553             .             .             .             .                   .                        .                       .                            .  
