    ccyy   conc_dhi_dhi   conc_dhi_hmc_wor   conc_dhi_hmc_wor_pred   conc_dhi_inc_5_ours_wor   conc_dhi_inc_5_ours_wor_pred   conc_dhi_tax_eff_ours_wor   conc_dhi_tax_eff_ours_wor_pred   gini_dhi_scope_hmc   gini_inc2   gini_inc3   gini_inc_5_ours_wor   gini_inc_5_ours_wor_pred   mean_dhi   mean_hmc_wor_pred_scaled   mean_hmc_wor_scaled   mean_scope   varlog_dhi   varlog_inc1   varlog_inc2   varlog_inc3   varlog_inc4   varlog_inc_5_ours   varlog_inc_5_ours_pred   varlog_inc_5_ours_wor   varlog_inc_5_ours_wor_pred  
    tw81              .                  .                       .                         .                              .                           .                                .                    .           .           .                     .                          .          .                          .                     .            0            .             .             .             .             .                   .                        .                       .                            .  
    tw86              .                  .                       .                         .                              .                           .                                .                    .           .           .                     .                          .          .                          .                     .            0            .             .             .             .             .                   .                        .                       .                            .  
    tw91              .                  .                       .                         .                              .                           .                                .                    .           .           .                     .                          .          .                          .                     .            0            .             .             .             .             .                   .                        .                       .                            .  
    tw07       .3069744            .189531                       .                         .                              .                           .                                .             .3069744           .           .                     .                          .     474622                          0                     0     .9999053     .3226512             .             .             .      .3230155                   .                        .                       .                            .  
    tw10       .3166508           .1927229                       .                         .                              .                           .                                .             .3166508           .           .                     .                          .   448527.3                          0                     0      .999433     .3713072             .             .             .      .3719823                   .                        .                       .                            .  
    tw13       .3076878           .1925914                       .                         .                              .                           .                                .             .3076878           .           .                     .                          .   471767.7                          0                     0     .9991519     .3490122             .             .             .      .3497129                   .                        .                       .                            .  
    uy07       .4324276                  .                       .                         .                              .                           .                                .                    .           .           .                     .                          .   135221.6                          0                     0     .8945417     .5572254             .             .             .             .                   .                        .                       .                            .  
    uy10       .4011084                  .                       .                         .                              .                           .                                .                    .           .           .                     .                          .   191386.2                          0                     0      .891806     .4850474             .             .             .             .                   .                        .                       .                            .  
    uy13       .3728255                  .                       .                         .                              .                           .                                .                    .           .           .                     .                          .   266836.6                          0                     0     .9086179     .4528089             .             .             .             .                   .                        .                       .                            .  
    uy16       .3621406                  .                       .                         .                              .                           .                                .                    .           .           .                     .                          .   361179.3                          0                     0     .9176656     .4217042             .             .             .             .                   .                        .                       .                            .  
