    ccyy   conc_dhi_dhi   conc_dhi_hmc   conc_dhi_hmc_medianized_predict   conc_dhi_hmc_wor   conc_dhi_hmc_wor_pred   conc_dhi_inc_5_ours   conc_dhi_inc_5_ours_pred   conc_dhi_inc_5_ours_wor   conc_dhi_inc_5_ours_wor_pred   conc_dhi_tax_eff_ours   conc_dhi_tax_eff_ours_pred   conc_dhi_tax_eff_ours_wor   conc_dhi_tax_eff_ours_wor_pred   gini_dhi_scope_hmc   gini_inc1   gini_inc2   gini_inc3   gini_inc4   gini_inc_5_ours   gini_inc_5_ours_pred   gini_inc_5_ours_wor   gini_inc_5_ours_wor_pred   mean_dhi   mean_hchous   mean_hitp   mean_hmc   mean_hmc_pred_scaled   mean_hmc_scaled   mean_hmc_wor_pred_scaled   mean_hmc_wor_scaled   mean_hmchous   mean_inc1   mean_inc2   mean_inc3   mean_inc4   mean_scope   varlog_dhi   varlog_inc1   varlog_inc2   varlog_inc3   varlog_inc4   varlog_inc_5_ours   varlog_inc_5_ours_pred   varlog_inc_5_ours_wor   varlog_inc_5_ours_wor_pred  
    au81              .              .                                 .                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .           .                 .                      .                     .                          .          .             .           .          .                      .                 .                          .                     .              .           .           .           .           .            0            .             .             .             .             .                   .                        .                       .                            .  
    au85              .              .                                 .                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .           .                 .                      .                     .                          .          .             .           .          .                      .                 .                          .                     .              .           .           .           .           .            0            .             .             .             .             .                   .                        .                       .                            .  
    au89       .3017817              .                          .1809965                  .                .1828057                     .                   .3177391                         .                       .3172334                       .                     .1809965                           .                         .1828057                    .           .           .           .    .3021271                 .                .318439                     .                   .3178574   18845.35      6117.478    52.15847          0               15359.79                 0                   14531.61                     0       2387.499           0           0           0    18810.85     .9880087     .3985514             .             .             .      .3999006                   .                 .4102971                       .                     .4111862  
    au95       .3043028              .                          .1383059                  .                  .14458                     .                   .3264258                         .                       .3253011                       .                     .1383059                           .                           .14458                    .           .           .           .    .3049238                 .               .3279889                     .                   .3265579   21207.11      1416.435    119.8809          0               17844.33                 0                   16974.61                     0       1416.407           0           0           0    21097.89     .9904961     .3934931             .             .             .      .3940854                   .                 .4276856                       .                     .4291202  
    au01       .3141239              .                          .1421599                  .                .1479928                     .                   .3391695                         .                       .3381951                       .                     .1421599                           .                         .1479928                    .           .           .           .    .3146903                 .               .3409229                     .                   .3396057   27418.53      1820.453    188.1917          0               23398.78                 0                   22269.98                     0       1820.434           0           0           0       27386     .9914727     .4087126             .             .             .      .4101203                   .                 .4697605                       .                     .4617076  
    au03       .3098915              .                          .1424153                  .                .1473397                     .                   .3357912                         .                       .3349203                       .                     .1424153                           .                         .1473397                    .    .4835178    .4137664    .3647899    .3105161                 .                .337757                     .                   .3365295   29554.82      2059.311    219.0015          0               25898.85                 0                   24725.14                     0       2059.293    33524.25    36530.58    38699.15    29495.79     .9912635     .4193283      2.052717      .9970759      .5624912      .4207237                   .                 .4585888                       .                     .4564837  
    au08       .3332253              .                          .1801543                  .                .1877599                     .                   .3518037                         .                       .3507726                       .                     .1801543                           .                         .1877599                    .    .4886345    .4241046    .3827727    .3332824                 .               .3519697                     .                   .3509639   47415.62      10360.25    761.3362          0               37674.01                 0                   35880.11                     0       2975.538    52442.39    57042.71     59977.3    47412.06     .9964684     .4223786      2.101648      .9714255        .55898       .422765                   .                 .4391688                       .                     .4368036  
    au10       .3308726       .1968332                          .1806268           .2160486                .1879714              .3469453                   .3487003                  .3445866                       .3476911                .1968332                     .1806268                    .2160486                         .1879714             .3308726    .4927183    .4193896    .3720584    .3273597          .3485223               .3488446               .346414                   .3478518   49668.35       13018.7    798.0413    36222.3                39286.8          39657.45                    37309.1              37802.38       4000.719    53160.88    58420.54     61824.4    49892.57     .5433912     .4388444      2.548992      1.243988      .5511557       .428733            .4517499                 .4641673                .4549931                     .4581892  
    at87              .              .                                 .                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .           .                 .                      .                     .                          .          .             .           .          .                      .                 .                          .                     .              .           .           .           .           .            0            .             .             .             .             .                   .                        .                       .                            .  
    at97              .              .                                 .                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .           .                 .                      .                     .                          .          .             .           .          .                      .                 .                          .                     .              .           .           .           .           .            0            .             .             .             .             .                   .                        .                       .                            .  
