    ccyy   conc_dhi_dhi   conc_dhi_hmc   conc_dhi_hmc_medianized_predict   conc_dhi_hmc_wor   conc_dhi_hmc_wor_pred   conc_dhi_inc_5_ours   conc_dhi_inc_5_ours_pred   conc_dhi_inc_5_ours_wor   conc_dhi_inc_5_ours_wor_pred   conc_dhi_tax_eff_ours   conc_dhi_tax_eff_ours_pred   conc_dhi_tax_eff_ours_wor   conc_dhi_tax_eff_ours_wor_pred   gini_dhi_scope_hmc   gini_inc1   gini_inc2   gini_inc3   gini_inc4   gini_inc_5_ours   gini_inc_5_ours_pred   gini_inc_5_ours_wor   gini_inc_5_ours_wor_pred   mean_dhi   mean_hchous   mean_hitp   mean_hmc   mean_hmc_pred_scaled   mean_hmc_scaled   mean_hmc_wor_pred_scaled   mean_hmc_wor_scaled   mean_hmchous   mean_inc1   mean_inc2   mean_inc3   mean_inc4   mean_scope  
    at13       .2804496              .                           .155979                  .                .1620129                     .                   .3077205                         .                       .3061904                       .                      .155979                           .                         .1620129                    .     .498194    .3676159    .3341645    .2810524                 .                .307736                     .                    .306221   29111.97      5923.832    272.5468          .               25290.42                 .                      24301                     .       3756.719    35554.74    43479.55    46178.41    29078.79     .9996824  
    be85       .2264945              .                          .1283424                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .    .4191912    .2979523    .2264945           .                 .                      .                     .                          .     395384             .    1300.301          .                      .                 .                          .                     .              .    288365.9    344046.4      395384           .     .9981444  
    be88        .232142              .                          .1306796                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .     .426566    .3033635    .2311825           .                 .                      .                     .                          .   432344.6             .    1369.518          .                      .                 .                          .                     .              .    308435.4    373108.8    429908.2           .     .9960505  
    be92       .2224753              .                          .1267465                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .     .454704    .3282237    .2854539    .2226235                 .                      .                     .                          .   515853.7       1726.52    2732.714          .                      .                 .                          .                     .       1726.097    540638.6    647906.2    701755.3    514776.7     .9916937  
    be97       .2496077              .                          .1416012                  .                .1412528                     .                   .2701052                         .                       .2699129                       .                     .1416012                           .                         .1412528                    .    .4849415    .3730115    .3230712    .2496077                 .               .2701158                     .                   .2699628   646403.4      109852.7    3086.913          .               524301.2                 .                   497057.3                     .       8280.255    722471.5    851288.6    926857.1    646403.4     .9975922  
    br06       .5021762              .                          .2763906                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .    .5950212    .5426516    .5236363    .5021751                 .                      .                     .                          .   10596.18      249.2792    66.96161          .                      .                 .                          .                     .       248.8355    9080.267    11246.51     11536.9    10596.19     .9714159  
    br09       .4783285              .                          .2622969                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .    .5743726    .5201063    .5011289    .4783275                 .                      .                     .                          .   13462.18      332.7675    51.51075          .                      .                 .                          .                     .       332.3161    11554.07    14327.59    14691.59     13462.2     .9676905  
    br11       .4693674              .                          .2570417                  .                       .                     .                   .5276824                         .                              .                       .                     .2570417                           .                                .                    .    .5704684    .5105942    .4926121     .469367                 .               .5277107                     .                          .          .             .           .          .                      .                 .                          .                     .              .           .           .           .           .     .9448823  
    br13        .460147              .                          .2504672                  .                       .                     .                   .5142524                         .                              .                       .                     .2504672                           .                                .                    .    .5693605    .5057817    .4847619    .4601468                 .               .5142784                     .                          .   19519.09      579.3281     41.3748          .               17668.57                 .                          .                     .       578.8707    17019.12    20844.16    21441.29    19519.09     .9448287  
    ca71       .3151157              .                          .1772774                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .    .4038696           .           .           .                 .                      .                     .                          .   4330.802             .           .          .                      .                 .                          .                     .              .    4656.819           .           .           .     .9882671  
