ccyy,scope,hmc_mean,dhi_mean,hmchous_mean,hchous_mean,hmc_wor_scaled_mean,hmc_scaled_mean,inc1_mean,inc2_mean,inc3_mean,inc4_mean,hmc_wor_pred_scaled_mean,hmc_pred_scaled_mean,dhi_conc_dhi,hmc_conc_dhi,hmc_wor_conc_dhi,tax_eff_ours_conc_dhi,tax_eff_ours_wor_conc_dhi,inc_5_ours_conc_dhi,inc_5_ours_wor_conc_dhi,hmc_medianized_predict_conc_dhi,hmc_wor_pred_conc_dhi,tax_eff_ours_pred_conc_dhi,tax_eff_ours_wor_pred_conc_dhi,inc_5_ours_pred_conc_dhi,inc_5_ours_wor_pred_conc_dhi,inc_5_ours_conc_inc_5_ours,inc_5_ours_wor_conc_inc_5_ours_wor,inc1_conc_inc1,inc2_conc_inc2,inc3_conc_inc3,inc4_conc_inc4,inc_5_ours_pred_conc_inc_5_ours_pred,inc_5_ours_wor_pred_conc_inc_5_ours_wor_pred,gini_dhi_scope_hmc
de73,.99878812,10431.911,9103.1016,745.01342,745.24921,.,.,15918.445,16706.459,18203.475,14713.002,.,.,.29868411,.15423072,.15969935,.,.,.,.,.13676114,.,.,.,.,.,.,.,.38377725,.35740304,.28994244,.27136932,.,.,.29868411
de78,.99957012,14622.545,13368.165,944.72242,944.99811,.,.,21928.195,25610.312,26550.297,21308.855,.,.,.28533053,.15209244,.15950146,.,.,.,.,.12965664,.,.,.,.,.,.,.,.42596019,.3100473,.29431649,.26463464,.,.,.28533053
de81,1,.,13203.548,.,.,.,.,23309.521,26950.416,28365.354,21498.616,.,.,.28127594,.,.,.,.,.,.,.11837814,.,.,.,.,.,.,.,.40844708,.30072825,.27466817,.24565924,.,.,.
de83,.99972483,21604.751,17405.97,1506.2242,1506.5165,.,.,26622.119,31281.374,32721.075,26326.409,.,.,.28434025,.14987804,.15878705,.,.,.,.,.1260936,.,.,.,.,.,.,.,.43245707,.31601249,.29395213,.26693723,.,.,.28434025
de84,.99734824,.,14497.618,2800.1979,3494.5235,.,.,25714.136,29938.367,30992.326,23040.678,.,.,.28480873,.,.,.,.,.,.,.12263694,.,.,.,.,.,.,.,.4464164,.3277802,.30752921,.25677367,.,.,.
de89,.99822719,.,17764.063,4457.3011,5326.7348,.,.,32073.884,37434.74,38587.668,27836.793,.,.,.28490868,.,.,.,.,.,.,.12318737,.,.,.,.,.,.,.,.44760896,.32931261,.31099193,.26000151,.,.,.
de94,.99860225,.,20752.613,6151.4596,7287.2025,.,.,35593.494,41766.502,43619.817,32056.367,.,.,.29171858,.,.,.,.,.,.,.12725088,.,.,.,.,.,.,.,.46501934,.34647846,.31682329,.26674866,.,.,.
de00,.99936706,.,24429.009,6775.6281,8392.1775,.,.,48591.356,56160.65,59259.715,37229.337,19146.98,20887.753,.28825179,.,.,.,.,.,.,.12547575,.12688022,.12547575,.12688022,.31446908,.31153864,.,.,.47527542,.36000308,.33113693,.26320199,.31468219,.31201145,.
de04,.99950233,.,13568.911,3786.7587,4626.6722,.,.,25540.416,29811.458,31707.607,20429.744,10434.049,11373.477,.30431911,.,.,.,.,.,.,.13303088,.13407698,.13303088,.13407698,.33031653,.32589132,.,.,.50696078,.38626954,.35055567,.2808934,.33050704,.32621772,.
de07,.99855399,.,14690.777,3969.237,4915.3214,.,.,26886.511,31689.634,33576.255,21949.728,11332.82,12329.376,.31315116,.,.,.,.,.,.,.13968206,.14155023,.13968206,.14155023,.34180615,.33861898,.,.,.51905659,.39333316,.3582398,.2943376,.34204162,.33901238,.
