    ccyy   conc_dhi_dhi   conc_dhi_hmc   conc_dhi_hmc_medianized_predict   conc_dhi_hmc_wor   conc_dhi_hmc_wor_pred   conc_dhi_inc_5_ours   conc_dhi_inc_5_ours_pred   conc_dhi_inc_5_ours_wor   conc_dhi_inc_5_ours_wor_pred   conc_dhi_tax_eff_ours   conc_dhi_tax_eff_ours_pred   conc_dhi_tax_eff_ours_wor   conc_dhi_tax_eff_ours_wor_pred   gini_dhi_scope_hmc   gini_inc1   gini_inc2   gini_inc3   gini_inc4   gini_inc_5_ours   gini_inc_5_ours_pred   gini_inc_5_ours_wor   gini_inc_5_ours_wor_pred   mean_dhi   mean_hchous   mean_hitp   mean_hmc   mean_hmc_pred_scaled   mean_hmc_scaled   mean_hmc_wor_pred_scaled   mean_hmc_wor_scaled   mean_hmchous   mean_inc1   mean_inc2   mean_inc3   mean_inc4   mean_scope   varlog_dhi   varlog_inc1   varlog_inc2   varlog_inc3   varlog_inc4   varlog_inc_5_ours   varlog_inc_5_ours_pred   varlog_inc_5_ours_wor   varlog_inc_5_ours_wor_pred  
    au81       .2806993              .                          .1578798                  .                       .                     .                    .295115                         .                              .                       .                     .1578798                           .                                .                    .           .           .           .    .2812441                 .                 .29512                     .                          .   9810.939             0     13.3462          0               7531.769                 0                          0                     0              0           0           0           0    9756.727     .9983251     .3726687             .             .             .      .3809644                   .                 .4579446                       .                            .  
    au85       .2915426              .                          .1630591                  .                       .                     .                    .309745                         .                              .                       .                     .1630591                           .                                .                    .           .           .           .    .2936599                 .               .3097512                     .                          .    13353.7             0     34.9305          0               10615.64                 0                          0                     0              0           0           0           0    13281.35     .9979807     .3987153             .             .             .      .4047365                   .                 .4307998                       .                            .  
    au89       .3024854              .                          .1694866                  .                .1704809                     .                   .3199871                         .                       .3195559                       .                     .1694866                           .                         .1704809                    .           .           .           .    .3028251                 .               .3199926                     .                   .3196183   18798.42      6057.038    52.16582          0               15268.18                 0                   14440.61                     0       2363.814           0           0           0    18764.26     .9979368     .4034372             .             .             .      .4047595                   .                 .4426037                       .                     .4627802  
    au95       .3043028              .                          .1702539                  .                .1780364                     .                   .3224867                         .                       .3212135                       .                     .1702539                           .                         .1780364                    .           .           .           .    .3049238                 .                .322493                     .                   .3212672   21207.11      1416.435    119.8809          0               18124.61                 0                   17254.89                     0       1416.407           0           0           0    21097.89     .9904961     .3934931             .             .             .      .3940854                   .                 .4235706                       .                     .4495995  
    au01       .3141239              .                           .175336                  .                .1827511                     .                   .3346336                         .                       .3334515                       .                      .175336                           .                         .1827511                    .           .           .           .    .3146903                 .               .3346415                     .                   .3335165   27418.53      1820.453    188.1917          0               23697.24                 0                   22568.44                     0       1820.434           0           0           0       27386     .9914727     .4087126             .             .             .      .4101203                   .                 .4229231                       .                     .4432412  
    au03       .3098915              .                          .1738335                  .                .1801373                     .                   .3313458                         .                       .3302812                       .                     .1738335                           .                         .1801373                    .    .4835178    .4137664    .3647899    .3105161                 .               .3313541                     .                   .3303433   29554.82      2059.311    219.0015          0               26338.27                 0                   25164.55                     0       2059.293    33524.25    36530.58    38699.15    29495.79     .9912635     .4193283      2.052717      .9970759      .5624912      .4207237                   .                 .4207823                       .                     .4203424  
    au08       .3332253              .                          .1828024                  .                .1904868                     .                   .3516186                         .                       .3505785                       .                     .1828024                           .                         .1904868                    .    .4886345    .4241046    .3827727    .3332824                 .               .3516237                     .                   .3506228   47415.62      10360.25    761.3362          0               37924.48                 0                   36130.58                     0       2975.538    52442.39    57042.71     59977.3    47412.06     .9964684     .4223786      2.101648      .9714255        .55898       .422765                   .                 .4449095                       .                     .4564155  
    au10       .3308726       .1968332                          .1836101           .2160486                .1910696              .3469453                   .3484536                  .3445866                       .3474327                .1968332                     .1836101                    .2160486                         .1910696             .3308726    .4927183    .4193896    .3720584    .3273597          .3485223               .3484588               .346414                   .3474765   49668.35       13018.7    798.0413    36222.3               39502.33          39657.45                   37524.63              37802.38       4000.719    53160.88    58420.54     61824.4    49892.57     .5433912     .4388444      2.548992      1.243988      .5511557       .428733            .4517499                 .4707467                .4549931                     .4714534  
    at87       .2272546              .                          .1286049                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .           .                 .                      .                     .                          .   172301.5             0           0          0                      0                 0                          0                     0              0           0           0           0           0            1     .1869338             .             .             .             .                   .                        .                       .                            .  
    at97       .2655513              .                          .1477459                  .                       .                     .                   .2917116                         .                              .                       .                     .1477459                           .                                .                    .           .           .           .           .                 .               .2917322                     .                          .   241983.7             0    3184.322          0               201811.3                 0                          0                     0              0           0           0           0           0     .9010766     .2859122             .             .             .             .                   .                 .3704023                       .                            .  
    at00       .2562159              .                          .1428444                  .                .1469587                     .                    .280828                         .                       .2799186                       .                     .1428444                           .                         .1469587                    .           .           .           .           .                 .               .2808473                     .                   .2800024   263713.9      12453.82    3418.961          0               219685.4                 0                   213739.9                     0       12453.43           0           0           0           0     .9076501     .2477573             .             .             .             .                   .                 .3401297                       .                     .3373086  
    at04       .2684039              .                          .1481237                  .                .1519726                     .                   .2949392                         .                       .2940082                       .                     .1481237                           .                         .1519727                    .    .4578143    .3368939    .3101777    .2686187                 .               .2949571                     .                   .2940356   22561.14      5805.177    181.0898          0               19125.56                 0                   18562.56                     0       2787.795    27525.01    33867.86    35750.75    22549.44     .9995477     .2875513      4.862065      .7994221      .3902259      .2879932                   .                 .3438738                       .                     .3364426  
    at07       .2842349              .                           .158129                  .                       .                     .                   .3096984                         .                              .                       .                      .158129                           .                                .                    .     .483887    .3677845    .3380315    .2844316                 .               .3097114                     .                          .   24575.44             0    238.8732          0                20060.6                 0                          0                     0              0    31037.16    36969.54    39148.21    24506.15     .9996731     .3990022      4.095367      .8699362      .5475757      .3990032                   .                 .3776697                       .                            .  
    at10       .2792102              .                          .1565186                  .                .1615494                     .                   .3043954                         .                        .303244                       .                     .1565186                           .                         .1615494                    .           .           .           .    .2792113                 .               .3044096                     .                   .3032682   27366.04      5921.444    263.4007          0               23017.55                 0                   22212.51                     0       3491.274           0           0           0    27313.22     .9991698      .375599             .             .             .      .3753323                   .                 .3500366                       .                     .3460713  
    at13       .2804496              .                           .155979                  .                .1616369                     .                   .3076176                         .                       .3062514                       .                      .155979                           .                         .1616369                    .     .498194    .3676159    .3341645    .2810524                 .                .307633                     .                   .3062803   29111.97      5923.832    272.5468          0               25212.13                 0                   24284.99                     0       3756.719    35554.74    43479.55    46178.41    29078.79     .9996824     .3480865      4.972609      .8214203      .5001544      .3493415                   .                 .3606841                       .                     .3504925  
    be85       .2264945              .                          .1283424                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .           .                 .                      .                     .                          .     395384             0    1300.301          0                      0                 0                          0                     0              0           0           0           0           0     .9981444     .1895359             .             .             .             .                   .                        .                       .                            .  
    be88        .232142              .                          .1306796                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .           .                 .                      .                     .                          .   432344.6             0    1369.518          0                      0                 0                          0                     0              0           0           0           0           0     .9960505     .2136673             .             .             .             .                   .                        .                       .                            .  
    be92       .2224754              .                          .1267465                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .    .2226235                 .                      .                     .                          .   515853.7       1726.52    2732.714          0                      0                 0                          0                     0       1726.097           0           0           0    514776.7     .9916937     .1815444             .             .             .      .1820742                   .                        .                       .                            .  
    be97       .2496077              .                          .1416012                  .                .1412576                     .                   .2699466                         .                       .2697724                       .                     .1416012                           .                         .1412576                    .           .           .           .    .2496077                 .                .269957                     .                   .2698206   646403.4      109852.7    3086.913          0               520887.2                 0                   494176.9                     0       8280.255           0           0           0    646403.4     .9975922     .2677873             .             .             .      .2677873                   .                 .2977509                       .                      .289697  
    br06       .5021761              .                          .2763906                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .    .5021751                 .                      .                     .                          .   10596.18             0    66.96161          0                      0                 0                          0                     0              0           0           0           0    10596.19     .9714159     .8747472             .             .             .      .8747435                   .                        .                       .                            .  
    br09       .4783285              .                           .262297                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .    .4783275                 .                      .                     .                          .   13462.18             0    51.51075          0                      0                 0                          0                     0              0           0           0           0     13462.2     .9676905     .7997648             .             .             .      .7997625                   .                        .                       .                            .  
    br11       .4693674              .                          .2570417                  .                       .                     .                   .5287596                         .                              .                       .                     .2570417                           .                                .                    .           .           .           .     .469367                 .                .528789                     .                          .          .             .           .          .                      .                 .                          .                     .              .           .           .           .           .     .9448823     .8089101             .             .             .      .8089095                   .                 1.090173                       .                            .  
    br13        .460147              .                          .2504672                  .                       .                     .                   .5151392                         .                              .                       .                     .2504672                           .                                .                    .           .           .           .    .4601468                 .                .515166                     .                          .   19519.09             0     41.3748          0               17898.01                 0                          0                     0              0           0           0           0    19519.09     .9448287     .7377231             .             .             .       .737722                   .                 1.245971                       .                            .  
    ca71       .3151157              .                          .1772774                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .    .3172926                 .                      .                     .                          .   4330.802             0           0          0                      0                 0                          0                     0              0           0           0           0    4295.719     .9882671     .5220268             .             .             .      .5352672                   .                        .                       .                            .  
    ca75       .2880325              .                          .1613297                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .    .2902107                 .                      .                     .                          .   7433.257             0           0          0                      0                 0                          0                     0              0           0           0           0    7392.979     .9929141     .3893622             .             .             .      .4042193                   .                        .                       .                            .  
    ca81       .2830675              .                          .1588878                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .    .2859991                 .                      .                     .                          .   13848.72             0           0          0                      0                 0                          0                     0              0           0           0           0    13728.17     .9961444     .3526039             .             .             .      .3797416                   .                        .                       .                            .  
    ca87       .2821398              .                           .157415                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .    .2849627                 .                      .                     .                          .   19785.42             0           0          0                      0                 0                          0                     0              0           0           0           0    19538.78     .9982343     .3160414             .             .             .       .344754                   .                        .                       .                            .  
    ca91         .28056              .                          .1567865                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .    .2843475                 .                      .                     .                          .   23927.44             0           0          0                      0                 0                          0                     0              0           0           0           0    23664.53     .9975114     .3051365             .             .             .      .3271787                   .                        .                       .                            .  
    ca94       .2835518              .                          .1586653                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .    .2872933                 .                      .                     .                          .   24793.41             0           0          0                      0                 0                          0                     0              0           0           0           0    24372.82     .9976541     .3112271             .             .             .      .3474539                   .                        .                       .                            .  
    ca97       .2911792              .                          .1629727                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .    .2961511                 .                      .                     .                          .   26064.89             0           0          0                      0                 0                          0                     0              0           0           0           0    25628.79     .9986725     .3996487             .             .             .      .4424238                   .                        .                       .                            .  
    ca98       .3109312              .                          .1721125                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .    .3123245                 .                      .                     .                          .   27416.64             0    87.59022          0                      0                 0                          0                     0              0           0           0           0    26865.94      .997718     .4301728             .             .             .       .452298                   .                        .                       .                            .  
    ca00       .3159964              .                          .1741691                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .    .3177643                 .                      .                     .                          .   29007.09             0    149.7799          0                      0                 0                          0                     0              0           0           0           0    28432.82     .9974259     .4092468             .             .             .      .4309207                   .                        .                       .                            .  
    ca04       .3190819              .                          .1764736                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .      .48013    .3990295    .3631638      .32128                 .                      .                     .                          .   33925.97             0    146.5004          0                      0                 0                          0                     0              0    38081.71    43155.89    45380.42    33186.99     .9984719     .4149117      1.998605      .8385125      .5735897      .4393767                   .                        .                       .                            .  
    ca07       .3177467              .                          .1751524                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .    .4770752    .3968613    .3613323    .3188173                 .                      .                     .                          .   39348.68             0    181.6757          0                      0                 0                          0                     0              0    43428.83     49224.3    51764.52    38457.95     .9993745     .3990252      1.859419      .7728031      .5448707       .420094                   .                        .                       .                            .  
    ca10       .3172654              .                          .1750142                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .    .4834074    .4067698    .3588648    .3175303                 .                      .                     .                          .   42085.06             0    169.6618          0                      0                 0                          0                     0              0    45014.21    50797.02    54424.31    41259.66     .9990181     .4061388      2.059263       .884204      .5376476      .4187974                   .                        .                       .                            .  
    ca13       .3208294              .                          .1791306                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .    .4772426    .4003378    .3576802    .3208265                 .                      .                     .                          .   46155.26             0    180.6037          0                      0                 0                          0                     0              0     49861.7    56765.16    60237.28    45369.05     .9993991       .45987      2.286431      .9498194      .6047087      .4788743                   .                        .                       .                            .  
    cn02       .4152188       .3518681                           .229858           .3492178                       .                     .                          .                         .                              .                       .                            .                           .                                .             .4152188           .           .           .           .                 .                      .                     .                          .   9213.396      582.0296    320.3727   6148.756                      0                 0                          0                     0       149.3766           0           0           0           0     .9988706     .5936992             .             .             .             .                   .                        .                       .                            .  
    co07       .5514781              .                          .3070452                  .                       .                     .                   .5855185                         .                              .                       .                     .3070452                           .                                .                    .           .           .           .    .5515708                 .               .5855269                     .                          .    6536154             0    361595.6          0                6282232                 0                          0                     0              0           0           0           0     6529464     .8888903     1.252235             .             .             .      1.251583                   .                 1.356201                       .                            .  
    cz92       .2057225              .                          .1153127                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .    .2071944                 .                      .                     .                          .   55501.32             0           0          0                      0                 0                          0                     0              0           0           0           0    54638.35     .9999313     .1344307             .             .             .      .1398505                   .                        .                       .                            .  
    cz96       .2563807              .                          .1443001                  .                       .                     .                   .2805876                         .                              .                       .                     .1443001                           .                                .                    .           .           .           .    .2563807                 .               .2806011                     .                          .   107160.5             0           0          0               97345.34                 0                          0                     0              0           0           0           0    107160.5     .9996461         .212             .             .             .          .212                   .                 .2660047                       .                            .  
    cz02        .255491              .                          .1435932                  .                       .                     .                   .2766153                         .                              .                       .                     .1435932                           .                                .                    .    .4752629    .3629814    .3307831    .2556057                 .                .276628                     .                          .   155257.8             0    2450.519          0               141269.5                 0                          0                     0              0    193667.5    223957.8    235020.5    155185.3     .9999153     .2026164      2.204665       .698769       .359644      .2039974                   .                 .2459489                       .                            .  
    cz04        .266581              .                          .1480643                  .                .1520436                     .                   .2928116                         .                       .2917206                       .                     .1480643                           .                         .1520436                    .    .4788663    .3683709     .339484     .266581                 .               .2928276                     .                   .2917476   174319.9             0    2680.207          0               161561.2                 0                     155465                     0       30842.45    221430.9    256082.8    267903.7    174319.9            1     .2306195      2.322639      .6564311      .3905588      .2306195                   .                 .2953308                       .                     .2917123  
    cz07       .2516939              .                          .1408774                  .                .1442477                     .                   .2765119                         .                       .2756035                       .                     .1408774                           .                         .1442477                    .    .4579208    .3475452     .324702    .2516939                 .               .2765298                     .                   .2756371   218077.5      43028.82    4030.676          0               200895.1                 0                   194043.8                     0       38881.63    276979.8    319632.1    333808.8    218077.5     .9997165     .2182502      2.001482      .5472775      .3760226      .2182502                   .                 .2653897                       .                     .2689712  
    cz10         .25633              .                          .1437488                  .                .1478347                     .                   .2810719                         .                       .2799977                       .                     .1437488                           .                         .1478347                    .     .459274    .3384139    .3196689      .25633                 .               .2810886                     .                   .2800294   245798.6       45813.7    5701.814          0               221762.9                 0                   213498.3                     0       44104.71    293532.4    345329.9    358760.3    245798.6     .9998538     .2224106      2.276162      .5453283      .3565895      .2224106                   .                 .2910818                       .                      .286103  
    cz13       .2587139              .                          .1440681                  .                       .                     .                   .2875578                         .                              .                       .                     .1440681                           .                                .                    .    .4701374    .3435986    .3234764    .2587139                 .               .2875792                     .                          .   257817.8             0    6427.753          0               239272.4                 0                          0                     0              0    307207.5    362850.9    375197.5    257817.8            1     .2154142      2.356415      .6816555      .3510765      .2154142                   .                 .2857839                       .                            .  
    dk87       .2520936              .                          .1412763                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .    .2563185                 .                      .                     .                          .   117170.9      4532.239    194.5412          0                      0                 0                          0                     0       341.6166           0           0           0    116404.1     .9932477     .3701942             .             .             .      .3945804                   .                        .                       .                            .  
