extreme gap,quantile,ccyy,hmc,dhi,hmchous,tax_eff_ours,tax_eff_ours_wor,hmc_medianized_predict,hmc_wor_pred_scaled
0,1,fr10,10979.207,2644.5547,2120.74,2188.1311,2022.683,.67556638,11310.329
0,2,fr10,11480.579,5447.4146,1881.7275,2288.0537,2191.7375,.71411467,12104.468
0,3,fr10,10886.866,6980.0317,2067.0176,2169.728,2013.8651,.71903342,12116.636
0,4,fr10,12507.752,8072.2598,2367.9011,2492.7668,2315.2656,.7425828,12417.119
0,5,fr10,11253.401,8753.3555,2358.9058,2242.7776,2030.9097,.73404688,12266.855
0,6,fr10,11506.581,9376.4434,2092.8398,2293.2358,2149.4707,.76710922,12973.211
0,7,fr10,12327.399,9913.5986,2177.2029,2456.823,2317.6279,.76996642,12989.893
0,8,fr10,9453.584,10448.637,2018.0969,1884.078,1697.7693,.72846735,12307.029
0,9,fr10,12465.831,10881.113,2638.3325,2484.4121,2243.9453,.77102429,12818.437
0,10,fr10,10723.917,11287.64,1922.991,2137.2527,2009.5446,.75540894,12832.33
0,11,fr10,12665.709,11660.306,2656.4763,2524.2473,2285.4412,.76086575,12627.688
0,12,fr10,12068.041,12012.007,2163.7307,2405.1333,2261.4839,.75887936,12795.459
0,13,fr10,12439.707,12418.202,2413.3035,2479.2056,2289.3618,.77980244,13069.77
0,14,fr10,12014.96,12748.136,2239.4526,2394.5547,2232.074,.74275386,12473.281
0,15,fr10,12195.162,13043.175,2394.0437,2430.4685,2237.9219,.73987716,12357.51
0,16,fr10,11614.904,13344.287,2472.8276,2314.8242,2087.4404,.79451281,13310.536
0,17,fr10,13127.152,13651.308,2145.7434,2616.2119,2507.4214,.76790762,12965.753
0,18,fr10,13202.817,13962.592,2545.7783,2631.2917,2433.3569,.816517,13677.328
0,19,fr10,14040.876,14257.286,2371.9312,2798.3152,2664.4087,.81009907,13633.389
0,20,fr10,12400.438,14524.99,2599.8628,2471.3794,2237.7979,.83481759,13985.107
0,21,fr10,13659.382,14755.281,2515.1965,2722.2842,2544.5886,.84800708,14258.019
0,22,fr10,13728.367,15019.655,2520.895,2736.0327,2559.0393,.82256854,13796.774
0,23,fr10,14716.312,15312.017,2646.165,2932.928,2756.0164,.83548528,13978.02
0,24,fr10,13328.922,15573.104,2421.0344,2656.4243,2490.634,.84461689,14235.77
0,25,fr10,15040.66,15841.661,2735.343,2997.5698,2809.7139,.86183912,14416.57
0,26,fr10,15617.788,16136.808,2805.5942,3112.5901,2925.4507,.88939553,14884.637
0,27,fr10,13639.02,16376.202,2240.5269,2718.2261,2602.6555,.87819654,14916.104
0,28,fr10,14388.571,16636.287,2599.5664,2867.6099,2691.8223,.89152384,15008.161
0,29,fr10,14555.303,16877.73,2345.2065,2900.8391,2787.9714,.9087134,15423.348
0,30,fr10,13842.872,17078.361,2346.8611,2758.8533,2624.9221,.88471764,14989.802
0,31,fr10,14478.584,17329.939,2209.9426,2885.5493,2801.3396,.91172111,15533.495
0,32,fr10,14779.813,17598.68,2219.6558,2945.5835,2867.9021,.94142956,16065.396
0,33,fr10,14266.172,17814.26,2100.011,2843.2158,2777.9397,.93714046,16037.462
0,34,fr10,14564.486,18021.805,2848.1897,2902.6694,2675.2207,.94073778,15793.205
0,35,fr10,16027.9,18234.184,2445.0964,3194.3245,3101.4065,.9407627,15960.214
0,36,fr10,16523.393,18487.344,2783.4272,3293.075,3137.2917,.97497404,16437.557
0,37,fr10,15998.563,18720.898,2651.0647,3188.4775,3047.6782,.96573073,16325.508
0,38,fr10,15950.658,18908.439,2387.418,3178.9304,3096.9395,.97783631,16652.822
0,39,fr10,15099.068,19101.939,2490.6665,3009.2104,2878.918,.96484727,16375.849
0,40,fr10,15316.375,19321.754,2376.0359,3052.519,2954.7102,.98018265,16699.852
0,41,fr10,15668.621,19550.684,2255.5852,3122.7209,3062.6426,1.0003265,17112.998
0,42,fr10,17687.871,19757.73,2308.1333,3525.1531,3511.7063,.98731345,16856.541
0,43,fr10,16214.284,19992.758,2684.155,3231.4705,3089.3792,1.0063373,17044.342
0,44,fr10,15391.642,20234.764,2315.7092,3067.5195,2985.6707,1.0088624,17242.135
0,45,fr10,18870.525,20462.98,2887.9939,3760.853,3649.344,1.0223351,17248.701
0,46,fr10,17763.934,20696.379,2245.363,3540.3118,3543.4063,1.0179851,17435.768
0,47,fr10,17867.623,20927.998,2263.2437,3560.9773,3562.9998,1.0440009,17897.682
0,48,fr10,16414.047,21155.781,2579.7561,3271.2827,3158.8293,1.0794822,18406.949
0,49,fr10,16248.521,21411.502,2415.2986,3238.2937,3158.5852,1.0248588,17489.547
0,50,fr10,17301.965,21659.637,2587.4187,3448.2427,3359.821,1.0909046,18609.834
0,51,fr10,16789.35,21934.43,2527.2278,3346.0796,3256.5173,1.0799514,18437.119
0,52,fr10,17335.094,22189.449,2677.2273,3454.8455,3346.8792,1.0650767,18106.813
0,53,fr10,16001.525,22386.842,2295.4966,3189.0681,3129.5427,1.0515593,18020.701
0,54,fr10,17591.088,22582.662,2075.9768,3505.8643,3542.6167,1.0996153,18978.297
0,55,fr10,18219.502,22853.52,2413.135,3631.106,3609.1201,1.0953771,18762.529
0,56,fr10,18314.406,23111.107,2417.8044,3650.02,3629.7236,1.1229935,19258.773
0,57,fr10,17857.211,23431.84,2463.2483,3558.9021,3514.9543,1.1309793,19384.055
0,58,fr10,18004.576,23735.992,2377.5674,3588.2715,3568.1665,1.1344379,19481.848
0,59,fr10,18825.24,24005.818,2406.4229,3751.8284,3748.9631,1.1375631,19526.301
0,60,fr10,18463.979,24253.266,2275.9004,3679.8293,3696.2773,1.1641479,20059.799
0,61,fr10,18275.723,24550.125,2407.8889,3642.3105,3623.1548,1.1422775,19610.738
0,62,fr10,19611.938,24823.623,2407.1606,3908.6152,3928.4238,1.1907748,20485.887
0,63,fr10,18672.146,25056.975,2070.7239,3721.3169,3790.6577,1.1772081,20380.172
0,64,fr10,19108.781,25336.58,2256.9707,3808.3372,3847.8296,1.1825765,20400.059
0,65,fr10,19642.26,25606.742,2329.0044,3914.6582,3953.1929,1.1988206,20663.32
0,66,fr10,20374.635,25937.322,2796.4778,4060.6189,4013.6787,1.2190375,20834.857
0,67,fr10,19834.549,26266.6,2381.6685,3952.9812,3985.074,1.1979467,20625.795
0,68,fr10,20139.297,26593.057,2270.6716,4013.7168,4080.0022,1.2235718,21133.914
0,69,fr10,19297.926,26960.498,2265.3655,3846.0334,3889.1008,1.1730762,20225.211
0,70,fr10,19684.891,27257.939,2054.4954,3923.1543,4025.6062,1.2377868,21479.664
0,71,fr10,18566.762,27544.789,2654.1494,3700.314,3633.3794,1.2373279,21223.609
0,72,fr10,19314,27908.408,2654.2212,3849.2368,3803.9824,1.2402344,21276.01
0,73,fr10,21109.953,28254.014,2413.9243,4207.166,4268.9258,1.2562796,21664.74
0,74,fr10,21138.473,28673.607,2514.3967,4212.8501,4252.4966,1.3090727,22575.566
0,75,fr10,21375.473,29086.051,2527.697,4260.0835,4303.5747,1.2951195,22318.369
0,76,fr10,20443.734,29452.67,2228.0254,4074.3904,4159.2529,1.2871686,22298.768
0,77,fr10,20885.521,29840.551,2912.582,4162.4375,4103.8208,1.3158076,22532.527
0,78,fr10,21759.91,30280.021,2811.0264,4336.7012,4326.6611,1.3253078,22745.867
0,79,fr10,20361.07,30761.947,2339.134,4057.9155,4115.0083,1.3451352,23298.523
0,80,fr10,23555.486,31331.979,2634.1924,4694.5557,4777.0283,1.3555685,23364.813
0,81,fr10,22772.354,31818.6,2207.6257,4538.479,4695.6123,1.3532472,23499.195
0,82,fr10,22478.357,32401.678,2165.9453,4479.8862,4638,1.4088283,24519.051
0,83,fr10,21486.723,32989.16,2252.7229,4282.2554,4391.7627,1.3943206,24221.49
0,84,fr10,24947.215,33643.277,2708.3477,4971.9238,5077.874,1.394161,24030.346
0,85,fr10,22492.291,34326.313,2529.718,4482.6631,4558.1201,1.4675249,25427.574
0,86,fr10,23765.713,35043.047,2802.0649,4736.4531,4786.6987,1.4422587,24859.262
0,87,fr10,25435.033,36023.867,2890.395,5069.145,5147.6914,1.4776559,25461.297
0,88,fr10,24168.998,37005.715,2777.1785,4816.8271,4884.4648,1.4854418,25648.531
0,89,fr10,24906.643,38066.98,2258.6179,4963.8379,5171.2983,1.5247644,26572.146
0,90,fr10,24718.799,39107.395,2616.6335,4926.4014,5046.6606,1.5206257,26349.553
0,91,fr10,26139.926,40465.48,2729.4104,5209.6284,5345.4004,1.5898712,27552.082
0,92,fr10,26375.307,41635.824,2477.9333,5256.5396,5456.5664,1.5981612,27805.537
0,93,fr10,27676.795,43043.883,2545.5088,5515.9229,5738.3096,1.6787869,29232.031
0,94,fr10,28527.469,44884.465,2860.0647,5685.4604,5860.7231,1.707991,29628.873
0,95,fr10,29185.787,47260.492,2659.6411,5816.6616,6056.8022,1.759449,30639.945
0,96,fr10,30022.709,50709.477,3531.061,5983.4585,6048.9258,1.7864645,30767.207
0,97,fr10,29906.391,55124.762,2815.0515,5960.2764,6185.855,1.9557074,34116.059
0,98,fr10,32485.803,59960.457,3321.3188,6474.3477,6659.2231,2.0251179,35158.969
0,99,fr10,33365.691,71007.102,3303.9001,6649.7075,6864.1079,2.2082682,38470.039
0,100,fr10,43092.34,125522.68,5305.7769,8588.207,8627.9307,2.9560497,51132.184
1,1,fr10,10979.207,2644.5547,2120.74,2188.1311,1969.2975,.67556638,11310.329
1,2,fr10,11480.579,5447.4146,1881.7275,2288.0537,2135.0706,.71411467,12104.468
1,3,fr10,10886.866,6980.0317,2067.0176,2169.728,1962.8817,.71903342,12116.636
1,4,fr10,12507.752,8072.2598,2367.9011,2492.7668,2257.8992,.7425828,12417.119
1,5,fr10,11253.401,8753.3555,2358.9058,2242.7776,1981.6827,.73404688,12266.855
1,6,fr10,11506.581,9376.4434,2092.8398,2293.2358,2098.5276,.76710922,12973.211
1,7,fr10,12327.399,9913.5986,2177.2029,2456.823,2263.948,.76996642,12989.893
1,8,fr10,9453.584,10448.637,2018.0969,1884.078,1659.3607,.72846735,12307.029
1,9,fr10,12465.831,10881.113,2638.3325,2484.4121,2194.3894,.77102429,12818.437
1,10,fr10,10723.917,11287.64,1922.991,2137.2527,1966.2477,.75540894,12832.33
1,11,fr10,12665.709,11660.306,2656.4763,2524.2473,2237.4309,.76086575,12627.688
1,12,fr10,12068.041,12012.007,2163.7307,2405.1333,2215.1948,.75887936,12795.459
1,13,fr10,12439.707,12418.202,2413.3035,2479.2056,2243.7354,.77980244,13069.77
1,14,fr10,12014.96,12748.136,2239.4526,2394.5547,2188.7915,.74275386,12473.281
1,15,fr10,12195.162,13043.175,2394.0437,2430.4685,2195.7314,.73987716,12357.51
1,16,fr10,11614.904,13344.287,2472.8276,2314.8242,2049.2114,.79451281,13310.536
1,17,fr10,13127.152,13651.308,2145.7434,2616.2119,2462.8518,.76790762,12965.753
1,18,fr10,13202.817,13962.592,2545.7783,2631.2917,2391.4143,.816517,13677.328
1,19,fr10,14040.876,14257.286,2371.9312,2798.3152,2619.9189,.81009907,13633.389
1,20,fr10,12400.438,14524.99,2599.8628,2471.3794,2201.6365,.83481759,13985.107
1,21,fr10,13659.382,14755.281,2515.1965,2722.2842,2504.8406,.84800708,14258.019
1,22,fr10,13728.367,15019.655,2520.895,2736.0327,2520.4438,.82256854,13796.774
1,23,fr10,14716.312,15312.017,2646.165,2932.928,2715.9348,.83548528,13978.02
1,24,fr10,13328.922,15573.104,2421.0344,2656.4243,2455.7534,.84461689,14235.77
1,25,fr10,15040.66,15841.661,2735.343,2997.5698,2771.8782,.86183912,14416.57
1,26,fr10,15617.788,16136.808,2805.5942,3112.5901,2887.6321,.88939553,14884.637
1,27,fr10,13639.02,16376.202,2240.5269,2718.2261,2570.4119,.87819654,14916.104
1,28,fr10,14388.571,16636.287,2599.5664,2867.6099,2659.9238,.89152384,15008.161
1,29,fr10,14555.303,16877.73,2345.2065,2900.8391,2756.4355,.9087134,15423.348
1,30,fr10,13842.872,17078.361,2346.8611,2758.8533,2596.6443,.88471764,14989.802
1,31,fr10,14478.584,17329.939,2209.9426,2885.5493,2772.6702,.91172111,15533.495
1,32,fr10,14779.813,17598.68,2219.6558,2945.5835,2840.0962,.94142956,16065.396
1,33,fr10,14266.172,17814.26,2100.011,2843.2158,2752.5024,.93714046,16037.462
1,34,fr10,14564.486,18021.805,2848.1897,2902.6694,2652.165,.94073778,15793.205
1,35,fr10,16027.9,18234.184,2445.0964,3194.3245,3076.3484,.9407627,15960.214
1,36,fr10,16523.393,18487.344,2783.4272,3293.075,3113.6335,.97497404,16437.557
1,37,fr10,15998.563,18720.898,2651.0647,3188.4775,3026.3372,.96573073,16325.508
1,38,fr10,15950.658,18908.439,2387.418,3178.9304,3076.9216,.97783631,16652.822
1,39,fr10,15099.068,19101.939,2490.6665,3009.2104,2861.8601,.96484727,16375.849
1,40,fr10,15316.375,19321.754,2376.0359,3052.519,2938.7949,.98018265,16699.852
1,41,fr10,15668.621,19550.684,2255.5852,3122.7209,3047.7957,1.0003265,17112.998
1,42,fr10,17687.871,19757.73,2308.1333,3525.1531,3496.574,.98731345,16856.541
1,43,fr10,16214.284,19992.758,2684.155,3231.4705,3077.7307,1.0063373,17044.342
1,44,fr10,15391.642,20234.764,2315.7092,3067.5195,2976.0215,1.0088624,17242.135
1,45,fr10,18870.525,20462.98,2887.9939,3760.853,3639.5156,1.0223351,17248.701
1,46,fr10,17763.934,20696.379,2245.363,3540.3118,3535.7717,1.0179851,17435.768
1,47,fr10,17867.623,20927.998,2263.2437,3560.9773,3557.2422,1.0440009,17897.682
1,48,fr10,16414.047,21155.781,2579.7561,3271.2827,3155.4265,1.0794822,18406.949
1,49,fr10,16248.521,21411.502,2415.2986,3238.2937,3156.884,1.0248588,17489.547
1,50,fr10,17301.965,21659.637,2587.4187,3448.2427,3359.821,1.0909046,18609.834
1,51,fr10,16789.35,21934.43,2527.2278,3346.0796,3258.2715,1.0799514,18437.119
1,52,fr10,17335.094,22189.449,2677.2273,3454.8455,3350.4849,1.0650767,18106.813
1,53,fr10,16001.525,22386.842,2295.4966,3189.0681,3134.6001,1.0515593,18020.701
1,54,fr10,17591.088,22582.662,2075.9768,3505.8643,3550.2495,1.0996153,18978.297
1,55,fr10,18219.502,22853.52,2413.135,3631.106,3618.8401,1.0953771,18762.529
1,56,fr10,18314.406,23111.107,2417.8044,3650.02,3641.4543,1.1229935,19258.773
1,57,fr10,17857.211,23431.84,2463.2483,3558.9021,3528.2075,1.1309793,19384.055
1,58,fr10,18004.576,23735.992,2377.5674,3588.2715,3583.5422,1.1344379,19481.848
1,59,fr10,18825.24,24005.818,2406.4229,3751.8284,3767.1372,1.1375631,19526.301
1,60,fr10,18463.979,24253.266,2275.9004,3679.8293,3716.187,1.1641479,20059.799
1,61,fr10,18275.723,24550.125,2407.8889,3642.3105,3644.6223,1.1422775,19610.738
1,62,fr10,19611.938,24823.623,2407.1606,3908.6152,3953.8162,1.1907748,20485.887
1,63,fr10,18672.146,25056.975,2070.7239,3721.3169,3817.2014,1.1772081,20380.172
1,64,fr10,19108.781,25336.58,2256.9707,3808.3372,3876.8459,1.1825765,20400.059
1,65,fr10,19642.26,25606.742,2329.0044,3914.6582,3985.1331,1.1988206,20663.32
1,66,fr10,20374.635,25937.322,2796.4778,4060.6189,4048.2698,1.2190375,20834.857
1,67,fr10,19834.549,26266.6,2381.6685,3952.9812,4021.5649,1.1979467,20625.795
1,68,fr10,20139.297,26593.057,2270.6716,4013.7168,4119.5601,1.2235718,21133.914
1,69,fr10,19297.926,26960.498,2265.3655,3846.0334,3928.9026,1.1730762,20225.211
1,70,fr10,19684.891,27257.939,2054.4954,3923.1543,4068.9734,1.2377868,21479.664
1,71,fr10,18566.762,27544.789,2654.1494,3700.314,3674.4785,1.2373279,21223.609
1,72,fr10,19314,27908.408,2654.2212,3849.2368,3849.0601,1.2402344,21276.01
1,73,fr10,21109.953,28254.014,2413.9243,4207.166,4321.8125,1.2562796,21664.74
1,74,fr10,21138.473,28673.607,2514.3967,4212.8501,4307.4702,1.3090727,22575.566
1,75,fr10,21375.473,29086.051,2527.697,4260.0835,4361.5269,1.2951195,22318.369
1,76,fr10,20443.734,29452.67,2228.0254,4074.3904,4217.502,1.2871686,22298.768
1,77,fr10,20885.521,29840.551,2912.582,4162.4375,4163.5039,1.3158076,22532.527
1,78,fr10,21759.91,30280.021,2811.0264,4336.7012,4391.916,1.3253078,22745.867
1,79,fr10,20361.07,30761.947,2339.134,4057.9155,4179.2871,1.3451352,23298.523
1,80,fr10,23555.486,31331.979,2634.1924,4694.5557,4854.2217,1.3555685,23364.813
1,81,fr10,22772.354,31818.6,2207.6257,4538.479,4774.0186,1.3532472,23499.195
1,82,fr10,22478.357,32401.678,2165.9453,4479.8862,4717.9429,1.4088283,24519.051
1,83,fr10,21486.723,32989.16,2252.7229,4282.2554,4469.8267,1.3943206,24221.49
1,84,fr10,24947.215,33643.277,2708.3477,4971.9238,5170.8691,1.394161,24030.346
