    ccyy   conc_dhi_dhi   conc_dhi_hmc   conc_dhi_hmc_medianized_predict   conc_dhi_hmc_wor   conc_dhi_hmc_wor_pred   conc_dhi_inc_5_ours   conc_dhi_inc_5_ours_pred   conc_dhi_inc_5_ours_wor   conc_dhi_inc_5_ours_wor_pred   conc_dhi_tax_eff_ours   conc_dhi_tax_eff_ours_pred   conc_dhi_tax_eff_ours_wor   conc_dhi_tax_eff_ours_wor_pred   gini_dhi_scope_hmc   gini_inc1   gini_inc2   gini_inc3   gini_inc4   gini_inc_5_ours   gini_inc_5_ours_pred   gini_inc_5_ours_wor   gini_inc_5_ours_wor_pred   mean_dhi   mean_hchous   mean_hitp   mean_hmc   mean_hmc_pred_scaled   mean_hmc_scaled   mean_hmc_wor_pred_scaled   mean_hmc_wor_scaled   mean_hmchous   mean_inc1   mean_inc2   mean_inc3   mean_inc4   mean_scope  
    nl10       .2544043              .                          .1183224                  .                .1315175                     .                   .2827359                         .                        .279269                       .                     .1183224                           .                         .1315175                    .    .4629856    .3442059    .3067413    .2544695                 .               .2830326                     .                    .279421   25062.06      4355.421    239.9472          .               22736.98                 .                   21251.54                     .       3364.195    32128.58    38406.18    40526.66    25056.53     .9959264  
    pl10       .3094752       .2205759                          .1719983           .2395574                 .172345              .3297642                   .3408507                  .3253927                       .3406943                .2205759                     .1719983                    .2395574                          .172345             .3094752    .4944281    .3393431    .3184989     .309227          .3362124               .3409187              .3335077                   .3407657    25274.3      6477.984    910.8353      19082               24691.41          24691.41                   24327.96              24327.96       3990.493    21602.77    28226.61     29044.7    25214.46     .9936565  
    pl13       .3159042        .211857                          .1762839           .2304504                .1767358              .3382314                   .3458649                  .3342042                       .3457071                 .211857                     .1762839                    .2304504                         .1767358             .3159042    .5059163    .3454207    .3245355      .31606          .3433742               .3472793              .3409802                   .3470365   27735.27      4430.783    988.3005   20500.09               27589.66          27589.66                   27220.86              27220.86       4355.095    23707.61    30964.94     31853.3    27693.36     .9911134  
    si10       .2523366       .1562525                            .13051           .1753819                .1313094              .2795942                    .286897                  .2741475                       .2866388                .1562525                       .13051                    .1753819                         .1313094             .2523366    .4188651    .2807684    .2523369           .          .2888942               .2875162              .2858639                   .2872444   13645.44      4266.031    81.71645   11456.45               12600.46          12600.46                   12499.12              12499.12       1527.487    10003.33    12721.81    13645.44           .     .9996567  
    si12       .2710829       .1223082                           .125012           .1472688                .1260213              .3150245                   .3142259                  .3076244                       .3138953                .1223082                      .125012                    .1472688                         .1260213             .2710829    .4523713    .3039223     .271083           .          .3237091               .3147549              .3189945                    .314397   14571.81      3530.273    57.12783   11359.59               13771.37          13771.37                   13667.76              13667.76       1824.735    10400.93    13562.52     14571.8           .            1  
    uk10       .3348106              .                          .1849856                  .                .2009113                     .                   .3601374                         .                       .3571456                       .                     .1849856                           .                         .2009113                    .     .565318    .4671777    .3861408    .3348106                 .               .3601464                     .                   .3574907   20677.85      4250.189     248.569          .               19513.71                 .                   18248.89                     .       918.8411    21138.44    24529.81    26954.63    20677.85     .9940127  
    uk13       .3307284              .                          .1902461                  .                .2074595                     .                   .3571498                         .                        .353567                       .                     .1902461                           .                         .2074595                    .    .5602099    .4603914    .3804558    .3307283                 .               .3574885                     .                   .3541699   22344.03      4192.913    224.9257          .               21821.87                 .                   20247.08                     .       1078.804    22430.99    26292.67    28722.86    22344.04     .9955069  
    uk95       .3430849        .218175                          .1817278           .2460226                .1866056              .3667633                   .3736724                     .3613                       .3724504                 .218175                     .1817278                    .2460226                         .1866056             .3430849    .5456227    .4514388    .3583433     .337061          .3703279               .3742327              .3666055                   .3728857   10483.53      1946.756    87.45526   10171.38               9601.184          9601.184                   9057.153              9057.153       1946.699    10483.29    12253.11     15004.5    12102.72      .988374  
    us10        .341853              .                          .1886211                  .                .1926155                     .                   .3504701                         .                       .3496458                       .                     .1886211                           .                         .1926155                    .    .4851523    .4087641    .3884392    .3426276                 .               .3507907                     .                   .3499006   36658.54      3139.237    461.0427          .               32076.22                 .                   30700.35                     .       1537.287    41094.67    46170.97    48407.37    36550.09      .993078  
    za10       .6739899       .5258171                          .4421403           .5284402                       .              .7020532                   .7222375                         .                              .                .5258171                     .4421403                           .                                .              .664567    .7378536    .7236014    .6382799    .6058779          .6348972               .6479986                     .                          .   37738.42       8650.15    326.0637   24279.76               38423.07          38423.07                          .                     .       2980.031     34210.8    36873.53    40758.84    34129.91      .943464  
    za12       .6071825       .4989633                          .4197896           .4985279                       .              .6317781                   .6497792                         .                              .                .4989633                     .4197896                           .                                .              .608915    .7372534    .7223082    .6404483    .6003519          .6326904                .640462                     .                          .    42443.4      9934.563     686.175   26113.51                43438.2           43438.2                          .                     .       3801.081    46327.62     48974.3     53754.7    42696.22     .9788594  
