    ccyy   agecat      hmc_q      dhi_q   hmchous_q   hmc_medianized_predict_q   hmc_wor_pred_scaled_q  
    ca71        1          .   4196.538           .                   1.105916                       .  
    ca71       30          .   4336.853           .                   1.112689                       .  
    ca71       50          .   4878.803           .                   1.186492                       .  
    ca71       65          .   3371.043           .                   .9708701                       .  
    ca75        1          .   6928.365           .                   1.077174                       .  
    ca75       30          .   7527.235           .                   1.115122                       .  
    ca75       50          .   8496.308           .                   1.191485                       .  
    ca75       65          .   5679.172           .                   .9569601                       .  
    ca81        1          .   12225.17           .                   1.046754                       .  
    ca81       30          .   13964.78           .                   1.120268                       .  
    ca81       50          .   15969.99           .                    1.20791                       .  
    ca81       65          .   11522.52           .                   1.001577                       .  
    ca87        1          .   16941.47           .                   1.024479                       .  
    ca87       30          .   20040.11           .                   1.128882                       .  
    ca87       50          .    22759.2           .                   1.204125                       .  
    ca87       65          .   16635.07           .                   1.012693                       .  
    ca91        1          .   20019.22           .                   1.013161                       .  
    ca91       30          .   24071.99           .                   1.126177                       .  
    ca91       50          .   27617.69           .                   1.214916                       .  
    ca91       65          .   21100.54           .                   1.042299                       .  
    ca94        1          .   20909.71           .                   1.014887                       .  
    ca94       30          .   24882.56           .                   1.125671                       .  
    ca94       50          .   28613.75           .                   1.214924                       .  
    ca94       65          .   21905.89           .                   1.042537                       .  
    ca97        1          .   21986.15           .                   1.004699                       .  
    ca97       30          .   26080.33           .                   1.121354                       .  
    ca97       50          .    29930.6           .                   1.208247                       .  
    ca97       65          .   23258.91           .                   1.047391                       .  
    ca98        1          .   21765.62           .                   .9805942                       .  
    ca98       30          .   27641.73           .                   1.133221                       .  
    ca98       50          .   32858.68           .                   1.242186                       .  
    ca98       65          .      23146           .                   1.027228                       .  
    ch00        1   37078.74   47884.18    10587.04                   1.299228                       .  
    ch00       30   33118.32    48942.7    7484.828                    1.10429                       .  
    ch00       50    38350.4   56499.99     6895.49                   1.070367                       .  
    ch00       65   33041.19   40098.63    7777.974                   .8490204                       .  
    ch02        1   35011.02   50999.45    10159.05                   1.272601                       .  
    ch02       30   34460.33   52424.48    7334.745                   1.106555                       .  
    ch02       50   38032.54    58044.7    7029.552                   1.080792                       .  
    ch02       65   32744.34    42040.7    8020.813                   .8633826                       .  
    ch04        1   38372.68   49063.43    11063.04                    1.29967                       .  
    ch04       30   35375.38   49734.76    7870.192                   1.098601                       .  
    ch04       50   39468.97   57322.77    6778.364                   1.055083                       .  
    ch04       65   32252.01   42035.45    7479.233                   .8419425                       .  
    ch07        1          .    47034.1    12113.39                   .9695721                       .  
    ch07       30          .   56331.29    12306.69                   1.149129                       .  
    ch07       50          .   68625.92    12534.25                   1.256879                       .  
    ch07       65          .   49990.25       10904                    .908716                       .  
    ch10        1          .   50222.55    12671.02                   1.109702                       .  
    ch10       30          .   60613.96    10006.02                   1.146048                       .  
    ch10       50          .    69049.6    8568.883                   1.145147                       .  
    ch10       65          .   48707.82    9008.729                   .9183227                       .  
    ch13        1          .   50279.87    13019.45                   1.108067                       .  
    ch13       30          .   59913.64    9632.709                    1.12786                       .  
    ch13       50          .   70314.38    8752.989                   1.162846                       .  
    ch13       65          .   52370.18    8918.976                   .9547659                       .  
    ch82        1          .   26330.39    16.35462                   1.028695                       .  
    ch82       30          .   34328.79    167.4323                   1.179008                       .  
    ch82       50          .   42111.38    366.4033                   1.297506                       .  
    ch82       65          .   27153.03    528.2141                   1.009428                       .  
    ch92        1          .   41381.77    8876.527                   1.098973                       .  
    ch92       30          .   45020.49    8892.591                   1.184153                       .  
    ch92       50          .   54751.48    9008.244                   1.296753                       .  
    ch92       65          .   44818.96    7881.929                   1.040894                       .  
    cn02        1    6788.79   10206.18    729.4889                   1.290601                       .  
    cn02       30   6221.396   9038.585     166.993                   1.219681                       .  
    cn02       50   5841.623    9236.49    52.55634                   1.222056                       .  
    cn02       65   6539.557   10357.67    48.51414                   1.300951                       .  
    co07        1          .    4944612    627449.7                   1.225178                       .  
    co07       30          .    6232882      512764                   1.441843                       .  
    co07       50          .    7630339      342701                    1.55825                       .  
    co07       65          .    6895613    184727.9                   1.355813                       .  
    cz02        1          .   144180.4           .                   1.087831                       .  
    cz02       30          .     154818           .                   1.142987                       .  
    cz02       50          .   177718.5           .                   1.230765                       .  
    cz02       65          .   118649.8           .                   .9875713                       .  
    cz04        1          .   163623.4    33600.61                   1.130803                153526.6  
    cz04       30          .   178437.7     30069.5                   1.165955                159239.8  
    cz04       50          .   191627.4    31951.36                   1.210069                165111.8  
    cz04       65          .     134361     29414.2                   .9706852                131670.3  
    cz07        1          .   204435.3    40815.39                   1.107665                192354.9  
    cz07       30          .   220405.4    37539.79                   1.152931                201128.6  
    cz07       50          .   246227.2    41042.16                   1.210724                210911.3  
    cz07       65          .   160916.7    38083.39                   .8643818                148955.9  
    cz10        1          .   232797.7    50356.62                   1.153368                  218860  
    cz10       30          .     249320    41601.68                   1.149683                219844.3  
    cz10       50          .   270976.8    46798.19                   1.203217                229442.7  
    cz10       65          .   194887.7    44616.04                   .9022772                170190.6  
    cz13        1          .     236487    56714.79                   1.138742                235539.2  
    cz13       30          .   264876.4    44701.38                   1.159933                242120.6  
    cz13       50          .     282931    47563.09                   1.184361                246877.2  
    cz13       65          .   207914.4    47735.91                   .9096383                187601.1  
    cz92        1          .   49833.41           .                   1.048853                       .  
    cz92       30          .   58310.47           .                   1.150312                       .  
    cz92       50          .   60024.36           .                   1.166491                       .  
    cz92       65          .   41487.72           .                   .9539063                       .  
    cz96        1          .   87044.15           .                   1.017304                       .  
    cz96       30          .   109457.7           .                   1.156103                       .  
    cz96       50          .   126026.6           .                   1.251481                       .  
    cz96       65          .   78711.36           .                   .9658296                       .  
    de00        1          .   27876.04    6911.544                   .9829426                25843.63  
    de00       30          .   38050.56    6544.506                   1.118755                29608.16  
    de00       50          .   42620.61    7107.133                   1.225133                32703.74  
    de00       65          .    33255.9    6887.159                   .9891288                25654.13  
