ccyy,hmc_mean,dhi_mean,hmchous_mean,hchous_mean,hmc_wor_scaled_mean,hmc_scaled_mean,hmc_wor_pred_scaled_mean,hmc_pred_scaled_mean,dhi_conc_dhi,hmc_conc_dhi,hmc_wor_conc_dhi,tax_eff_ours_conc_dhi,tax_eff_ours_wor_conc_dhi,inc_5_ours_conc_dhi,inc_5_ours_wor_conc_dhi,hmc_medianized_predict_conc_dhi,hmc_wor_pred_conc_dhi,tax_eff_ours_pred_conc_dhi,tax_eff_ours_wor_pred_conc_dhi,inc_5_ours_pred_conc_dhi,inc_5_ours_wor_pred_conc_dhi,inc_5_ours_conc_inc_5_ours,inc_5_ours_wor_conc_inc_5_ours_wor,inc1_conc_inc1,inc2_conc_inc2,inc3_conc_inc3,inc4_conc_inc4,inc_5_ours_pred_conc_inc_5_ours_pred,inc_5_ours_wor_pred_conc_inc_5_ours_wor_pred,gini_dhi_scope_hmc
pe07,7020.7594,4431.6753,646.52338,2640.0878,.,.,.,.,.528636,.3542146,.34897441,.,.,.,.,.32845623,.,.,.,.,.,.,.,.55019142,.54013796,.5284678,.5198897,.,.,.528636
pe10,8565.7167,5554.0818,753.21626,2865.8331,.,.,.,.,.49232354,.31110497,.30676294,.,.,.,.,.30519761,.,.,.,.,.,.,.,.52113286,.51074412,.4987316,.48825629,.,.,.49232354
pe13,9873.9382,6736.9513,962.42814,3814.946,.,.,.,.,.47175489,.29125675,.28428554,.,.,.,.,.29191365,.,.,.,.,.,.,.,.49855443,.49003224,.47753569,.46612032,.,.,.47175489
pl86,.,155841.01,.,39211.559,.,.,.,.,.27978963,.,.,.,.,.,.,.16500281,.,.,.,.,.,.,.,.36705112,.28830617,.27104164,.,.,.,.
pl92,.,17958885,.,.,.,.,.,.,.29293114,.,.,.,.,.,.,.16981793,.,.,.,.,.,.,.,.42216395,.3130994,.26137614,.,.,.,.
pl95,.,3444.357,.,994.08983,.,.,.,2881.0692,.34602231,.,.,.,.,.,.,.20240315,.,.20240315,.,.37889071,.,.,.,.58209628,.37649122,.33001599,.34168667,.37889071,.,.
pl99,.,6718.9573,.,2041.9378,.,.,.,5867.6358,.32110588,.,.,.,.,.,.,.18705798,.,.18705798,.,.34823793,.,.,.,.49494194,.32829426,.30068672,.29585686,.34823793,.,.
pl04,.,8734.4653,.,2804.2178,.,.,.,8356.0023,.35361859,.,.,.,.,.,.,.2073993,.,.2073993,.,.38394791,.,.,.,.55400539,.36791194,.33435231,.32917396,.38394791,.,.
pl07,15449.288,11147.225,2952.866,4568.7592,10718.939,10913.511,10718.939,10913.511,.34327068,.21272726,.22092227,.21272726,.22092227,.37568352,.37356497,.1986973,.19907216,.19869731,.19907216,.37916704,.3789752,.38361271,.38340299,.51604158,.35063137,.32307451,.3202828,.37916704,.37898513,.34327068
pl10,19082.003,14447.888,3990.493,6477.9843,13906.92,14114.684,13906.92,14114.683,.34200875,.20378128,.21415374,.20378128,.21415374,.37355564,.37111629,.19786651,.19836418,.19786651,.19836418,.37490553,.37471095,.37985309,.37926181,.49742595,.3451058,.32053234,.3196831,.37490553,.37471675,.34200876
