ccyy,hmc_mean,dhi_mean,hmchous_mean,hchous_mean,hmc_wor_scaled_mean,hmc_scaled_mean,hmc_wor_pred_scaled_mean,hmc_pred_scaled_mean,dhi_conc_dhi,hmc_conc_dhi,hmc_wor_conc_dhi,tax_eff_ours_conc_dhi,tax_eff_ours_wor_conc_dhi,inc_5_ours_conc_dhi,inc_5_ours_wor_conc_dhi,hmc_medianized_predict_conc_dhi,hmc_wor_pred_conc_dhi,tax_eff_ours_pred_conc_dhi,tax_eff_ours_wor_pred_conc_dhi,inc_5_ours_pred_conc_dhi,inc_5_ours_wor_pred_conc_dhi,inc_5_ours_conc_inc_5_ours,inc_5_ours_wor_conc_inc_5_ours_wor,inc1_conc_inc1,inc2_conc_inc2,inc3_conc_inc3,inc4_conc_inc4,inc_5_ours_pred_conc_inc_5_ours_pred,inc_5_ours_wor_pred_conc_inc_5_ours_wor_pred,gini_dhi_scope_hmc
us74,.,3617.1318,.,.,.,.,.,.,.35201091,.,.,.,.,.,.,.21146361,.,.,.,.,.,.,.,.41387096,.36801563,.3524656,.31723308,.,.,.
us79,.,5753.0969,0,909.23678,.,.,.,.,.34509277,.,.,.,.,.,.,.20725309,.,.,.,.,.,.,.,.43114839,.3821973,.35796426,.31297665,.,.,.
us86,.,9292.2459,0,1842.1044,.,.,.,.,.37401247,.,.,.,.,.,.,.22677197,.,.,.,.,.,.,.,.46186613,.410771,.38778413,.34372676,.,.,.
us91,.,11817.908,0,2879.1372,.,.,.,.,.38130353,.,.,.,.,.,.,.23021129,.,.,.,.,.,.,.,.47272522,.41831218,.39116118,.34921262,.,.,.
us94,.,13368.047,0,2788.5531,.,.,.,.,.40055425,.,.,.,.,.,.,.23749879,.,.,.,.,.,.,.,.50359902,.44619189,.41838006,.37410757,.,.,.
us97,.,15383.219,0,2548.4782,.,.,.,.,.40518563,.,.,.,.,.,.,.23819224,.,.,.,.,.,.,.,.50062468,.44440512,.42167211,.37617969,.,.,.
us00,.,17573.283,0,2821.5574,.,.,.,15980.71,.40128535,.,.,.,.,.,.,.23505516,.,.23505516,.,.41299385,.,.,.,.49601919,.44150864,.42486286,.37444903,.41299385,.,.
us04,.,19521.689,0,2288.189,.,.,.,17376.375,.4016024,.,.,.,.,.,.,.23736997,.,.23736997,.,.41259767,.,.,.,.50584738,.44611511,.42290488,.37881291,.41259767,.,.
us07,.,22107.953,0,2633.4504,.,.,.,19982.245,.40663467,.,.,.,.,.,.,.24085491,.,.24085491,.,.41776408,.,.,.,.49733677,.441382,.42021112,.38218009,.41776408,.,.
us10,.,22296.521,0,3139.2365,.,.,.,19509.455,.39962117,.,.,.,.,.,.,.23960344,.,.23960344,.,.40933734,.,.,.,.52230778,.45687419,.42138863,.37490686,.40933734,.,.
us13,.,24031.374,0,3887.7502,.,.,.,21260.699,.40652712,.,.,.,.,.,.,.24289006,.,.24289006,.,.41716452,.,.,.,.52739237,.45811595,.43029547,.38545945,.41716452,.,.
uy04,.,51072.005,.,33988.429,.,.,.,.,.47034484,.,.,.,.,.,.,.27843339,.,.,.,.,.,.,.,.57179056,.47343363,.45000152,.,.,.,.
uy07,.,77336.124,314.07183,21041.9,.,.,.,.,.46601626,.,.,.,.,.,.,.27144035,.,.,.,.,.,.,.,.56466395,.48387909,.44758961,.,.,.,.
uy10,.,110191.74,5254.2997,36220.718,.,.,.,.,.43669848,.,.,.,.,.,.,.25357948,.,.,.,.,.,.,.,.5319889,.44751444,.4164195,.,.,.,.
uy13,.,153668.42,8295.4869,55736.898,.,.,.,.,.40359447,.,.,.,.,.,.,.2374438,.,.,.,.,.,.,.,.4882796,.40846143,.38503097,.,.,.,.
uy16,.,210230.64,13069.416,75208.294,.,.,.,.,.39594592,.,.,.,.,.,.,.23198138,.,.,.,.,.,.,.,.48449847,.40179665,.3762292,.,.,.,.

