    ccyy   dhi_quantiles      hmc_q      dhi_q   hmchous_q   hmc_medianized_predict_q   hmc_wor_pred_scaled_q  
    ch00               1   25870.22   6069.761    5313.065                   .6606776                       .  
    ch00               2   19108.04   11608.56    4962.321                   .6769397                       .  
    ch00               3   20834.56   15342.83    5683.992                   .7113679                       .  
    ch00               4   21163.66   17429.63    5020.829                   .6452549                       .  
    ch00               5   28666.43   18999.92    5454.739                   .7163045                       .  
    ch00               6   21487.16   20090.12    5666.601                    .718376                       .  
    ch00               7   20124.21   20829.89    7354.543                   .8118891                       .  
    ch00               8   25213.54   21624.26    5696.378                   .7094104                       .  
    ch00               9   24709.84   22506.13    7785.063                   .8203941                       .  
    ch00              10   20641.94   23227.77    5668.845                   .7375745                       .  
    ch00              11   20062.69   23906.87     7058.43                   .7823006                       .  
    ch00              12   22625.94   24487.26    5289.737                   .6974362                       .  
    ch00              13   25069.82    25111.4    7506.902                   .8251671                       .  
    ch00              14   26243.01   25786.48     7106.41                   .8436292                       .  
    ch00              15   26948.19   26407.28    8462.334                   .8880712                       .  
    ch00              16   29765.05   26940.96     7733.07                   .8406284                       .  
    ch00              17   23843.81   27513.98    7058.718                   .8490437                       .  
    ch00              18   23699.01   27931.83    8013.525                    .840804                       .  
    ch00              19   24088.67   28371.48    6637.418                   .8216736                       .  
    ch00              20   27491.08   28803.32    6885.976                   .8475075                       .  
    ch00              21   24619.91   29364.59    6471.891                   .8262167                       .  
    ch00              22   27987.48   29925.78    7483.501                    .894948                       .  
    ch00              23   26452.51   30432.75    7826.493                   .9339417                       .  
    ch00              24   24298.41   30910.22    7426.999                   .9085287                       .  
    ch00              25   27387.94   31410.08    8009.782                   .9564568                       .  
    ch00              26   30303.66   31923.32    7552.064                   .9215282                       .  
    ch00              27   27825.91   32378.65    6059.411                    .842146                       .  
    ch00              28   29671.72   32804.01    6984.195                   .9208624                       .  
    ch00              29   28620.93   33323.94     7755.58                   .9406362                       .  
    ch00              30   28736.88   33791.68    6631.308                   .8852794                       .  
    ch00              31   33009.78   34359.68     8521.79                   .9667563                       .  
    ch00              32   28972.88   34794.07    6804.768                   .8322181                       .  
    ch00              33    34814.3   35146.92    6169.196                   .9134268                       .  
    ch00              34   26894.82   35604.08    6913.038                   .9149721                       .  
    ch00              35   26193.34   36076.71    6498.347                   .9226959                       .  
    ch00              36   27898.38   36545.86    7709.021                   .9831848                       .  
    ch00              37   28034.82   37020.39    7215.213                   .9638096                       .  
    ch00              38   28850.26   37424.93    7549.619                   1.013871                       .  
    ch00              39   25210.29   37896.56    6184.307                    .936393                       .  
    ch00              40   29797.82   38305.04    6946.435                   .9483541                       .  
    ch00              41   28466.53   38721.72    7110.112                   .9978923                       .  
    ch00              42   27325.96   39197.16    6782.552                   .9327672                       .  
    ch00              43   32910.74   39598.12    9210.557                   1.065302                       .  
    ch00              44   25774.56   39994.82    5329.452                   .8587921                       .  
    ch00              45   34130.37   40351.79    7673.583                   1.029101                       .  
    ch00              46   29218.85   40909.03    6829.712                   .9813644                       .  
    ch00              47   34183.71   41365.98    5576.044                   .8963217                       .  
    ch00              48    29458.2   41756.09    6017.785                   .9299068                       .  
    ch00              49   32215.98   42224.12    6622.331                   1.006463                       .  
    ch00              50   33233.79   42709.02    8380.141                   1.058165                       .  
    ch00              51   34184.74   43209.36    6585.104                   .9808718                       .  
    ch00              52   32127.58   43796.88    7482.792                   1.070135                       .  
    ch00              53    31778.8   44414.81    8021.311                    1.07883                       .  
    ch00              54   36907.02   44917.62    8037.545                   1.073988                       .  
    ch00              55   32803.02    45411.9    8526.101                   1.096134                       .  
    ch00              56   29212.03    45840.6    5937.146                   .9683642                       .  
    ch00              57   29525.45   46256.77     6885.44                   1.074933                       .  
    ch00              58   38552.61   46808.47    14939.58                   1.183882                       .  
    ch00              59   37234.03   47387.99     6875.79                   1.050493                       .  
    ch00              60   46711.97   47824.88    8071.372                   1.145452                       .  
    ch00              61    33907.6   48290.66    7214.485                   1.081537                       .  
    ch00              62   34191.34   48994.34    6386.397                   .9972734                       .  
    ch00              63    39706.5   49566.89    7208.728                   1.046057                       .  
    ch00              64    39551.2   50179.19    8476.535                    1.01811                       .  
    ch00              65   35562.27   51013.21    7439.759                   1.118611                       .  
    ch00              66   36322.84   51838.83    6611.986                   1.044217                       .  
    ch00              67   31214.34   52544.66    6517.177                   1.030751                       .  
    ch00              68   41866.57   53390.98     8065.49                     1.1654                       .  
    ch00              69   38464.88   53988.49    7581.648                   1.102472                       .  
    ch00              70   40384.73   54661.27    8456.923                   1.177983                       .  
    ch00              71   35212.75   55534.52    7797.778                   1.126483                       .  
    ch00              72    55113.4   56351.78    8633.116                    1.18328                       .  
    ch00              73   36776.32   57312.79    7536.353                   1.131199                       .  
    ch00              74   41030.77   58262.23    9089.282                   1.275162                       .  
    ch00              75   39808.53   59027.45    8679.504                   1.229636                       .  
    ch00              76   36035.09   59570.17    7675.179                   1.209078                       .  
    ch00              77    37310.9   60274.36    5755.764                   1.042302                       .  
    ch00              78   40214.22   61457.16     8532.31                   1.232781                       .  
    ch00              79   38002.64   62572.38    8803.896                   1.252681                       .  
    ch00              80   46287.09   63635.93     8137.01                   1.242726                       .  
    ch00              81   39355.14   64630.55    7957.794                   1.270737                       .  
    ch00              82   43819.21      65723    8866.624                    1.31027                       .  
    ch00              83   45837.86   67127.16    8155.218                   1.231044                       .  
    ch00              84   43163.26   68278.62    10147.74                   1.416847                       .  
    ch00              85      56924   69622.03    10198.12                    1.40506                       .  
    ch00              86   41681.42   71022.55    8444.708                   1.268566                       .  
    ch00              87   41925.08   72548.28    7211.371                   1.265924                       .  
    ch00              88   43310.43   74014.33    9310.391                    1.35625                       .  
    ch00              89      44248    75314.2    10446.77                   1.444727                       .  
    ch00              90   46284.82   77128.23    9846.396                   1.456443                       .  
    ch00              91   57226.86    79398.3    10150.84                   1.481298                       .  
    ch00              92   47210.54   81889.68    8771.533                   1.426149                       .  
    ch00              93   47767.04   84602.84     8969.26                   1.368008                       .  
    ch00              94   47431.47    88149.2    8043.105                   1.402691                       .  
    ch00              95   48528.43   92417.11    6438.958                    1.31262                       .  
    ch00              96   49031.68   97520.01    7754.005                    1.42655                       .  
    ch00              97   48538.86   102561.1    9492.974                   1.529225                       .  
    ch00              98   53187.22   112826.3    9100.258                   1.642972                       .  
    ch00              99   66207.91   133078.6    11550.93                   1.798952                       .  
    ch00             100   84321.72   272020.4    13044.29                   2.581358                       .  
    ch02               1   23165.87   8403.473    5158.792                    .642675                       .  
    ch02               2   17730.66   15094.62    4657.063                   .6370029                       .  
    ch02               3   19586.94   17543.98    4243.963                   .6225277                       .  
    ch02               4   23285.47   19260.16    5736.694                   .7251806                       .  
    ch02               5   24949.05   20390.46    5983.082                   .7053146                       .  
    ch02               6    26040.6   21534.14    9426.343                   .8595126                       .  
    ch02               7   26034.87   22671.71    5682.004                   .7462794                       .  
    ch02               8    25443.9   23447.62    6058.449                   .7690806                       .  
    ch02               9   24411.11   24131.88    8320.087                    .847455                       .  
    ch02              10   27297.98   24926.12    7869.435                   .8648879                       .  
