    ccyy   conc_dhi_dhi   conc_dhi_hmc   conc_dhi_hmc_medianized_predict   conc_dhi_hmc_wor   conc_dhi_hmc_wor_pred   conc_dhi_inc_5_ours   conc_dhi_inc_5_ours_pred   conc_dhi_inc_5_ours_wor   conc_dhi_inc_5_ours_wor_pred   conc_dhi_tax_eff_ours   conc_dhi_tax_eff_ours_pred   conc_dhi_tax_eff_ours_wor   conc_dhi_tax_eff_ours_wor_pred   gini_dhi_scope_hmc   gini_inc1   gini_inc2   gini_inc3   gini_inc4   gini_inc_5_ours   gini_inc_5_ours_pred   gini_inc_5_ours_wor   gini_inc_5_ours_wor_pred   mean_dhi   mean_hchous   mean_hitp   mean_hmc   mean_hmc_pred_scaled   mean_hmc_scaled   mean_hmc_wor_pred_scaled   mean_hmc_wor_scaled   mean_hmchous   mean_inc1   mean_inc2   mean_inc3   mean_inc4   mean_scope   varlog_dhi   varlog_inc1   varlog_inc2   varlog_inc3   varlog_inc4   varlog_inc_5_ours   varlog_inc_5_ours_pred   varlog_inc_5_ours_wor   varlog_inc_5_ours_wor_pred  
    nl13       .2613804              .                           .116003                  .                .1310831                     .                   .2913149                         .                       .2874331                       .                      .116003                           .                         .1310831                    .    .4763199    .3561285    .3182774    .2614244                 .               .2958224                     .                   .2921453   25810.58      4514.255    302.3761          0               23422.93                 0                   21806.44                     0       3365.906    32639.73    39334.13    41499.23    25808.13     .9919506     .2493643      4.430158      1.175146      .3728221      .2494182                   .                 .3362992                       .                      .312209  
    pl13       .3159042        .211857                          .1766914           .2304504                .1771489              .3382314                   .3457775                  .3342041                       .3456187                 .211857                     .1766914                    .2304504                         .1771489             .3159042           .           .           .      .31606          .3433742               .3508421              .3409802                   .3506847   27735.27      4430.783    988.3005   20500.09               27589.66          27589.66                   27220.86              27220.86       4355.095           0           0           0    27693.36     .9911134     .3704671             .             .             .      .3735666            .4128272                 .4656472                .4063514                     .4588771  
    si12       .2710829       .1223082                          .1293528           .1472688                .1303949              .3150245                   .3129438                  .3076244                       .3126045                .1223082                     .1293528                    .1472688                         .1303949             .2710829           .           .           .           .          .3237091               .3201425              .3189945                   .3198766   14571.81      3530.273    57.12783   11359.59               13771.37          13771.37                   13667.76              13667.76       1824.735           0           0           0           0            1     .2964201             .             .             .             .            .4848938                 .4683323                .4656265                     .4804534  
    es13       .3405693              .                          .1539014                  .                .1575248                     .                   .3743512                         .                       .3735577                       .                     .1539014                           .                         .1575248                    .    .5250527    .4163377     .383748    .3409735                 .               .3767818                     .                    .376103   17535.73             0    130.3172          0               16386.51                 0                   15900.04                     0       1881.303    18878.98    23134.76    24686.86    17524.87     .9921033     .5392208      2.561726      1.037393      .6693234      .5366729                   .                 .6671634                       .                     .6723924  
    uk13       .3307284              .                           .192056                  .                .2094102                     .                   .3568094                         .                       .3532056                       .                      .192056                           .                         .2094102                    .    .5602099    .4603913    .3804558    .3307283                 .                .359856                     .                   .3568159   22344.03             0    224.9257          0               21821.87                 0                   20247.08                     0       1078.804    22430.99    26292.67    28722.86    22344.04     .9955069     .3836067       2.43727      1.003685      .5022887      .3836057                   .                 .4539875                       .                     .4516523  
    au10       .3307087              .                          .1814337                  .                       .                     .                   .3486791                         .                              .                       .                     .1814337                           .                                .             .3308726    .4897411    .4173017    .3706866    .3273645                 .               .3498051                     .                          .   49767.94             0    738.6381          0               39877.02                 0                          0                     0              0    53172.87    58361.59    61747.46    49982.56     .9894075     .4316555      2.399247      1.172497       .540754      .4229372                   .                   .45831                       .                            .  
    br13       .4601099              .                          .2503752                  .                       .                     .                   .5142382                         .                              .                       .                     .2503752                           .                                .                    .           .           .           .    .4601097                 .               .5180757                     .                          .   19513.43      579.3281    41.39846          0               17665.74                 0                          0                     0       578.8707           0           0           0    19513.43     .9442888     .7375639             .             .             .      .7375628                   .                 1.098816                       .                            .  
    hu12       .2850261              .                          .1689645                  .                 .169623                     .                   .3309334                         .                       .3310314                       .                     .1689645                           .                          .169623             .2880057           .           .           .           .                 .               .3436648                     .                   .3442093          .             .           .          .                      .                 .                          .                     .              .           .           .           .           .      .497924     .2967284             .             .             .             .                   .                 .4954314                       .                     .5056484  
    it10       .3195734       .1645765                          .1776986                  .                       .              .3469603                   .3446417                         .                              .                .1645765                     .1776986                           .                                .             .3195734    .4822906    .3861425    .3778926    .3195735          .3484485               .3468704                     .                          .   17264.32             0    104.3368   10579.25               15357.64          15357.64                          0                     0              0    23367.78    28016.36    28327.43    17264.31     .9938298     .6455247      2.848662      .9423849       .829915       .645525            .4878113                 .5426973                       .                            .  
    no13        .249955              .                          .1411392                  .                       .                     .                   .2805741                         .                              .                       .                     .1411392                           .                                .                    .    .4507438    .3349691    .3033961    .2499615                 .               .2874996                     .                          .   387624.1             0           0          0               333967.9                 0                          0                     0              0    449575.1    533678.9    570460.1    387628.2     .9964275     .4754494      5.699732      1.917103      .6032798      .4754342                   .                  .368586                       .                            .  
    za12       .6071826       .4989633                          .4113451           .4985279                       .              .6317781                   .6516739                         .                              .                .4989633                     .4113451                           .                                .              .608915           .           .           .           .          .6433559               .6552683                     .                          .   40813.96      9934.563    616.4747   25895.29               43061.28           43075.2                          0                     0       3801.081           0           0           0           0     .9288139     1.318026             .             .             .             .            1.515151                  1.67116                       .                            .  
    se05       .2380164              .                          .1326976                  .                       .                     .                   .2693201                         .                              .                       .                     .1326976                           .                                .                    .    .4832166    .3584923    .3035725    .2387846                 .               .2771846                     .                          .   204117.6             0    1534.295          0               201328.2                 0                          0                     0              0    261871.5    312771.3    345273.1    203303.2     .9992529     .2118112      4.590845      .9111226      .3506734      .2125988                   .                 .3034428                       .                            .  
    ch13       .2955981              .                          .1395995                  .                       .                     .                   .3124034                         .                              .                       .                     .1395995                           .                                .                    .           .           .           .     .296007                 .               .3136124                     .                          .   60948.77      12076.12    883.4727          0                  50936                 0                          0                     0       9429.097           0           0           0    60888.34     .9992617     .2876161             .             .             .      .2886201                   .                 .3384058                       .                            .  
    us13       .3790969              .                          .1893717                  .                       .                     .                   .3914302                         .                              .                       .                     .1893717                           .                                .                    .    .5211166    .4495241    .4239166    .3803546                 .               .3920161                     .                          .   39464.83             0    501.4346          0               34914.77                 0                          0                     0              0     44831.1    50572.54    52218.54    39349.66     .9940466     .6589115      2.701177        1.0398      .8092251       .667838                   .                 .6489403                       .                            .  
