    ccyy   dhi_quantiles      hmc_q      dhi_q   hmchous_q    prop4_q   prop4_scaled_q   hmc_medianized_predict_q   hmc_wor_pred_scaled_q   prop4_pred_scaled_q  
    at13              84          .   40375.78    4031.666          1                1                   1.260905                 27927.9                     0  
    at13              85          .   41191.04    3560.178          1                1                   1.485677                33219.86                     0  
    at13              86          .   41836.87     3487.26          1                1                   1.458854                32622.39                     0  
    at13              87          .   42555.23    3245.293          1                1                   1.421874                31835.89                     0  
    at13              88          .   43401.45    3686.114          1                1                   1.361589                30333.77                     0  
    at13              89          .    44469.3    4371.963          1                1                   1.429409                31712.39                     0  
    at13              90          .   45628.72    3571.117          1                1                   1.351738                30137.56                     0  
    at13              91          .   46958.15    3604.041          1                1                   1.337219                29795.09                     0  
    at13              92          .   48394.22     3862.52          1                1                   1.567995                35032.83                     0  
    at13              93          .   50601.39    4075.662          1                1                   1.520415                33882.76                     0  
    at13              94          .   53049.49    3965.811          1                1                   1.482229                33033.75                     0  
    at13              95          .   55650.28    4323.415          1                1                   1.598112                35603.88                     0  
    at13              96          .   58871.79    4167.349          1                1                   1.650348                36845.93                     0  
    at13              97          .   62873.71    4644.156          1                1                   1.823092                40691.96                     0  
    at13              98          .   67515.63    4168.351          1                1                   1.582805                35292.79                     0  
    at13              99          .   76814.66     4935.05          1                1                   1.882639                 41984.4                     0  
    at13             100          .   136418.6    6238.786          1                1                   2.466339                55061.01                     0  
    au10               1   28063.68   3440.795    3366.562   .8313571         .8469284                   .5978405                24142.79              .6682763  
    au10               2   23488.59   9528.612    5181.142   .4964584         .5094401                   .7842069                25857.77              .2303983  
    au10               3   22565.69   12430.78    3690.045   .5193995         .5245132                   .6780092                22761.98              .0179019  
    au10               4   22846.34    14480.7    3926.124   .4459604         .4585197                   .7350364                25841.96              .0080099  
    au10               5   18895.28   15755.66     3649.62   .4842972         .4842972                   .7029629                23680.58              .0079419  
    au10               6    22764.7   16631.79    4035.115   .4184311         .4184311                   .7202016                23751.89                     0  
    au10               7   20579.48   17335.77    2784.145   .4594749         .4619969                   .7201884                22266.06                     0  
    au10               8   19389.11    17904.2     2966.68   .4438896         .4447213                   .7281928                22204.65                     0  
    au10               9   19755.16   18376.37    3155.425   .3842306         .3848311                   .7668005                25279.09                     0  
    au10              10   20250.16   18824.77    3511.422   .4510908         .4528705                   .7869828                22963.86                     0  
    au10              11   21682.95   19320.44    3338.556   .5082183         .5082183                     .83512                   26473                     0  
    au10              12   22578.39   19866.08    3846.918   .4359057         .4359057                   .7913738                26045.24                     0  
    au10              13   22632.91   20384.88    3467.509   .4590605         .4590605                   .8042339                26736.67              .0002212  
    au10              14   21548.72   20886.36     3433.92   .4297116         .4297116                   .7277891                23941.22                     0  
    au10              15   20450.19   21512.33    3507.583   .4113969         .4113969                   .8114926                27382.34                     0  
    au10              16   20758.22   22107.29    3037.685   .4082437         .4091276                   .8035741                25176.93                     0  
    au10              17   21726.25   22688.05    4511.422   .4206601         .4206601                   .7229961                21583.55                     0  
    au10              18   24290.25   23196.51    4354.803   .4416214         .4416214                   .7340088                25208.09                     0  
    au10              19   21280.96   23721.05    2761.018    .546353          .546353                   .8114361                28352.33                     0  
    au10              20   26403.16   24285.52    4566.623   .4160174         .4216178                   .7362955                23741.75                     0  
    au10              21   23222.09   24895.48    4166.619   .4073109         .4073109                   .8324274                27665.79                     0  
    au10              22   24775.87   25457.42    4190.014   .4999332         .4999332                   .7806165                24958.31                     0  
    au10              23    23471.9   26069.45    3723.991   .4570612         .4570612                    .792091                27681.78                     0  
    au10              24   26679.45   26711.23    3377.862   .4034497         .4034497                   .8045915                23782.13                     0  
    au10              25   24100.06   27326.63    4696.213    .405185          .405185                   .8944151                27402.01                     0  
    au10              26   23541.13   27871.24    2889.132   .4772733         .4772733                   .8297781                25779.15                     0  
    au10              27      24978   28483.58    3827.001   .5054336         .5054336                   .8863444                28045.52                     0  
    au10              28   26745.56   29095.57     2962.88   .4906361         .4906361                   .7927579                26018.36                     0  
    au10              29   29721.35   29729.61    2950.312   .4121494         .4121494                   .9093934                28341.34                     0  
    au10              30   29794.71   30297.89    3948.556   .4058111         .4058111                   .8954561                28355.44                     0  
    au10              31   28659.01   30950.39    2736.053   .5010663         .5010663                   .9110047                27748.73                     0  
    au10              32   26409.35   31537.18    4811.302   .4860373         .4860373                   .9594601                27927.97                     0  
    au10              33   26327.78   32115.01    4174.993   .5051348         .5051348                   .9422097                30188.96                     0  
    au10              34   25541.88   32613.97    4810.947   .3541071         .3541071                   .9398029                30004.56                     0  
    au10              35   37537.27   33204.09    3405.004   .5648895         .5648895                    .950991                31466.33                     0  
    au10              36   26859.08   33801.03    4089.372    .403265          .403265                   .9614986                30986.37                     0  
    au10              37   30680.13   34359.17    2352.828    .530555          .530555                   .8949492                25800.94                     0  
    au10              38   31320.42      34891    5538.039   .5116125         .5116125                   1.011005                29847.92                     0  
    au10              39   30465.08   35424.29    4018.177   .4051725         .4051725                   .7793388                 22113.6                     0  
    au10              40    28177.1   35985.34    3186.491    .489258          .489258                   .8605592                27785.58                     0  
    au10              41   28436.94   36557.98    3613.267   .4238392         .4238392                   .9589851                31226.51                     0  
    au10              42   30992.59   37163.92     5367.19   .5129459         .5129459                   1.064628                31711.26                     0  
    au10              43   30320.44   37726.97    3726.787   .3912331         .3912331                   .9965819                32104.16                     0  
    au10              44    29025.3    38214.7    3393.488   .3777033         .3777033                   1.092795                34652.11                     0  
    au10              45   36459.45   38740.02    4974.708   .4351742         .4351742                   1.048192                35286.38                     0  
    au10              46   28615.83   39378.66    4106.115   .4550656         .4550656                     1.0149                32807.56                     0  
    au10              47   32563.38   39941.53    3696.145   .4997313         .5013296                   1.115224                37903.39                     0  
    au10              48   29228.69   40621.86    3388.594   .5770949         .5770949                   1.113571                 37893.1                     0  
    au10              49   33030.14   41306.19    3369.009   .4229646         .4229646                    1.03679                33447.67                     0  
    au10              50   33478.59   41800.67    3940.546   .5915494         .5915494                   1.129975                34770.27                     0  
    au10              51   34739.34   42426.21    4087.517   .5926763         .5926763                   .9726943                29981.01                     0  
    au10              52   33709.69   43056.77    4315.957   .4671024         .4671024                   1.153144                35908.55                     0  
    au10              53   32332.18   43720.83    2669.916   .4289671         .4289671                   1.055636                34955.68                     0  
    au10              54   35604.29   44281.28    4703.995   .3853875         .3853875                   1.092052                35746.27                     0  
    au10              55   31975.17   44957.42    3067.939    .392351          .392351                   1.187258                40282.91                     0  
    au10              56   35382.16   45575.84    3631.169   .4350756         .4350756                   1.088924                33121.32                     0  
    au10              57    37245.7   46359.12    4295.233   .4847765         .4847765                    1.12951                39100.17                     0  
    au10              58   35783.31   47043.74    3356.696   .4738778         .4738778                   1.216701                41937.74                     0  
    au10              59   39474.09   47836.95    3807.229   .4624085         .4624085                   1.119278                36778.06                     0  
    au10              60   36246.21   48708.86    4591.529   .5093907         .5093907                   1.181711                37960.82                     0  
    au10              61   35423.35   49368.86    2483.499   .4117405         .4117405                   1.151189                36918.73                     0  
    au10              62   36545.05   50053.11    3551.542   .4953858         .4953858                    1.25087                39403.82                     0  
    au10              63    40133.7   50905.39    4253.815   .5018615         .5018615                   1.246252                40752.33                     0  
    au10              64   38673.11   51716.87    3904.687   .4993936         .4993936                   1.189579                38006.54                     0  
    au10              65   41888.07   52632.01    3790.764   .4555078         .4555078                   1.287508                41930.66                     0  
    au10              66   39623.54    53307.7    3466.373   .3952953         .3952953                    1.13762                36725.19                     0  
    au10              67   40428.37   54212.97     4155.22   .4557261         .4557261                   1.299097                43404.26                     0  
    au10              68    44552.8    55150.5    6040.958    .386271         .3889435                   1.231176                39920.27                     0  
    au10              69   41919.23   56039.92    5954.177   .4355605         .4355605                   1.175023                39883.66                     0  
    au10              70   43725.62   57012.96    4907.203   .4218443         .4218443                   1.231065                38718.72                     0  
    au10              71   41327.38   57982.59     3489.67    .468939          .468939                   1.343691                44485.47                     0  
    au10              72   41538.14   58884.86    3537.085   .4641495         .4641495                   1.275077                41318.16                     0  
    au10              73   38901.06   59886.18    3345.001   .5573647         .5580671                   1.356632                 46471.8                     0  
    au10              74   38083.76   60787.63     4641.75   .4931673         .4931673                   1.252679                40723.18                     0  
    au10              75   41943.17   61690.67     3248.34   .5115542         .5115542                   1.381593                 45225.3                     0  
    au10              76   40418.73   62564.09    3509.407   .4206363         .4206363                   1.352863                43961.68                     0  
    au10              77   41814.71   63533.34     3330.59   .3465745         .3465745                   1.315734                 41870.1                     0  
    au10              78   44311.45   64598.81    4151.152   .3360838         .3360838                   1.382483                45243.61                     0  
    au10              79   49831.16   66032.13    4456.251   .4128303         .4128303                   1.471583                50007.55                     0  
    au10              80   48684.97   67240.96    6009.107   .4816931         .4816931                   1.277725                43506.75                     0  
    au10              81   48560.53   68496.18    2882.227   .4697174         .4697174                   1.362226                45763.69                     0  
    au10              82   40931.17   69815.85    4110.444   .3797043         .3797043                   1.415893                46138.33                     0  
    au10              83   42253.37   71148.13     4900.98   .3329429         .3329429                   1.454911                46957.24                     0  
