    ccyy   conc_dhi_dhi   conc_dhi_hmc   conc_dhi_hmc_medianized_predict   conc_dhi_hmc_wor   conc_dhi_hmc_wor_pred   conc_dhi_inc_5_ours   conc_dhi_inc_5_ours_pred   conc_dhi_inc_5_ours_wor   conc_dhi_inc_5_ours_wor_pred   conc_dhi_tax_eff_ours   conc_dhi_tax_eff_ours_pred   conc_dhi_tax_eff_ours_wor   conc_dhi_tax_eff_ours_wor_pred   gini_dhi_scope_hmc   gini_inc1   gini_inc2   gini_inc3   gini_inc4   gini_inc_5_ours   gini_inc_5_ours_pred   gini_inc_5_ours_wor   gini_inc_5_ours_wor_pred   mean_dhi   mean_hchous   mean_hitp   mean_hmc   mean_hmc_pred_scaled   mean_hmc_scaled   mean_hmc_wor_pred_scaled   mean_hmc_wor_scaled   mean_hmchous   mean_inc1   mean_inc2   mean_inc3   mean_inc4   mean_scope   varlog_dhi   varlog_inc1   varlog_inc2   varlog_inc3   varlog_inc4   varlog_inc_5_ours   varlog_inc_5_ours_pred   varlog_inc_5_ours_wor   varlog_inc_5_ours_wor_pred  
    au81       .2806993              .                          .1592003                  .                       .                     .                   .2949812                         .                              .                       .                     .1592003                           .                                .                    .           .           .           .    .2812441                 .                .295994                     .                          .   9810.939             0     13.3462          0               7541.802                 0                          0                     0              0           0           0           0    9756.727     .9983251     .3726687             .             .             .      .3809644                   .                 .4182498                       .                            .  
    au85       .2915426              .                          .1625418                  .                       .                     .                   .3098151                         .                              .                       .                     .1625418                           .                                .                    .           .           .           .    .2936599                 .               .3113377                     .                          .    13353.7             0     34.9305          0               10614.03                 0                          0                     0              0           0           0           0    13281.35     .9979807     .3987153             .             .             .      .4047365                   .                 .4403038                       .                            .  
    au89       .3024854              .                          .1800337                  .                .1816366                     .                   .3186077                         .                        .318119                       .                     .1800337                           .                         .1816366                    .           .           .           .    .3028251                 .               .3205442                     .                   .3200722   18798.42      6057.038    52.16582          0               15275.31                 0                   14445.29                     0       2363.814           0           0           0    18764.26     .9979368     .4034372             .             .             .      .4047595                   .                 .4203131                       .                      .428991  
    au95       .3043028              .                          .1388761                  .                .1455861                     .                   .3268892                         .                       .3256024                       .                     .1388761                           .                         .1455861                    .           .           .           .    .3049238                 .               .3296509                     .                   .3281005   21207.11      1416.435    119.8809          0                18228.4                 0                    17285.6                     0       1416.407           0           0           0    21097.89     .9904961     .3934931             .             .             .      .3940854                   .                 .4585755                       .                     .4562884  
    au01       .3141239              .                           .134915                  .                .1407031                     .                   .3407939                         .                       .3397152                       .                      .134915                           .                         .1407031                    .           .           .           .    .3146903                 .               .3437328                     .                   .3423785   27418.53      1820.453    188.1917          0               23842.95                 0                   22628.32                     0       1820.434           0           0           0       27386     .9914727     .4087126             .             .             .      .4101203                   .                 .4955344                       .                     .4757114  
    au03       .3098915              .                          .1429397                  .                .1482049                     .                   .3363336                         .                       .3353028                       .                     .1429397                           .                         .1482049                    .    .4835178    .4137664    .3647899    .3105161                 .               .3396987                     .                   .3383933   29554.82      2059.311    219.0015          0               26438.74                 0                   25167.76                     0       2059.293    33524.25    36530.58    38699.15    29495.79     .9912635     .4193283      2.052717      .9970759      .5624912      .4207237                   .                 .4727632                       .                     .4670271  
    au08       .3332253              .                          .1781165                  .                .1860602                     .                    .352301                         .                        .351157                       .                     .1781165                           .                         .1860602                    .    .4886345    .4241046    .3827727    .3332824                 .               .3534997                     .                    .352483   47415.62      10360.25    761.3362          0               38119.43                 0                   36203.25                     0       2975.538    52442.39    57042.71     59977.3    47412.06     .9964684     .4223786      2.101648      .9714255        .55898       .422765                   .                 .4734101                       .                     .4719204  
    au10       .3308726       .1968332                          .1819075           .2160486                .1895306              .3470451                   .3490115                   .344585                       .3477519                .1968332                     .1819075                    .2160486                         .1895306             .3308726    .4927183    .4193896    .3720584    .3273597          .3486408               .3500935              .3464121                   .3489163   49668.35       13018.7    798.0413    36222.3               40204.51          39877.02                   37798.58              37798.58       4000.719    53160.88    58420.54     61824.4    49892.57     .5433912     .4388444      2.548992      1.243988      .5511557       .428733            .4538212                 .4750721                .4545761                     .4688715  
    at87       .2272546              .                          .1287636                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .           .                 .                      .                     .                          .   172301.5             0           0          0                      0                 0                          0                     0              0           0           0           0           0            1     .1869338             .             .             .             .                   .                        .                       .                            .  
    at97       .2647885              .                          .1505527                  .                .1523009                     .                   .2903142                         .                       .2897684                       .                     .1505527                           .                         .1523009                    .           .           .           .           .                 .               .2942939                     .                   .2940118   241326.8      18567.22    3204.739          0                 202288                 0                   195598.3                     0       18566.98           0           0           0           0     .8916516     .2847502             .             .             .             .                   .                 .3459104                       .                     .3446958  
    at00       .2562159              .                          .1327761                  .                .1371669                     .                   .2831392                         .                       .2820402                       .                     .1327761                           .                         .1371669                    .           .           .           .           .                 .               .2869194                     .                   .2861277   263713.9      12453.82    3418.961          0               220529.7                 0                   213721.8                     0       12453.43           0           0           0           0     .9076501     .2477573             .             .             .             .                   .                 .3340825                       .                      .346433  
    at04       .2684039              .                          .1399172                  .                .1437521                     .                   .2969064                         .                        .295903                       .                     .1399172                           .                         .1437521                    .    .4578143    .3368939    .3101777    .2686187                 .               .3020464                     .                   .3013183   22561.14      5805.177    181.0898          0               19212.14                 0                   18610.85                     0       2787.795    27525.01    33867.86    35750.75    22549.44     .9995477     .2875513      4.862065      .7994221      .3902259      .2879932                   .                 .3650617                       .                     .3600508  
    at07       .2842839              .                          .1439632                  .                 .148689                     .                   .3128898                         .                        .311731                       .                     .1439632                           .                          .148689                    .     .483903    .3678367    .3380716    .2844822                 .               .3167992                     .                   .3158224   24583.28      4894.945    239.1595          0               20227.11                 0                   19540.09                     0       3030.605    31047.21    36981.37       39161    24513.91     .9984761     .3993749      4.090082      .8708128      .5480519      .3993773                   .                 .3819994                       .                     .3771793  
    at10       .2792102              .                          .1403082                  .                .1450327                     .                   .3079645                         .                       .3067761                       .                     .1403082                           .                         .1450327                    .           .           .           .    .2792113                 .               .3118476                     .                    .310875   27366.04      5921.444    263.4007          0               23179.08                 0                   22318.97                     0       3491.274           0           0           0    27313.22     .9991698      .375599             .             .             .      .3753323                   .                 .4087203                       .                     .4046806  
    at13       .2804496              .                          .1407071                  .                .1461192                     .                   .3110664                         .                       .3096447                       .                     .1407071                           .                         .1461192                    .     .498194    .3676159    .3341645    .2810524                 .               .3154327                     .                   .3142618   29111.97      5923.832    272.5468          0               25290.42                 0                      24301                     0       3756.719    35554.74    43479.55    46178.41    29078.79     .9996824     .3480865      4.972609      .8214203      .5001544      .3493415                   .                 .3786996                       .                     .3777577  
    be85       .2264945              .                          .1236662                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .           .                 .                      .                     .                          .     395384             0    1300.301          0                      0                 0                          0                     0              0           0           0           0           0     .9981444     .1895359             .             .             .             .                   .                        .                       .                            .  
    be88        .232142              .                          .1340338                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .           .           .           .           .                 .                      .                     .                          .   432344.6             0    1369.518          0                      0                 0                          0                     0              0           0           0           0           0     .9960505     .2136673             .             .             .             .                   .                        .                       .                            .  
