    ccyy   dhi_quantiles      hmc_q      dhi_q   hmchous_q    prop4_q   prop4_scaled_q   hmc_medianized_predict_q   hmc_wor_pred_scaled_q   prop4_pred_scaled_q  
    at00               1          .   36933.98    8846.937          1                1                   .6755649                128914.6              .4269545  
    at00               2          .   57441.25    8671.264          1                1                   .6661614                127148.9              .1304383  
    at00               3          .   83498.76    8972.951          1                1                   .6184903                117545.9                     0  
    at00               4          .   95967.63    11372.34          1                1                   .7607478                144398.9                     0  
    at00               5          .   105690.6    11631.47          1                1                   .7867482                149404.9                     0  
    at00               6          .     112124    16611.03          1                1                   .7860545                146545.4                     0  
    at00               7          .   116645.4    7870.252          1                1                   .8570217                165374.1                     0  
    at00               8          .     120693    10739.14          1                1                   .7615361                144901.1                     0  
    at00               9          .   126101.9     24446.6          1                1                   .6952789                124289.8                     0  
    at00              10          .   130210.6    5756.506          1                1                   .9465002                184244.9                     0  
    at00              11          .   134265.6    9815.459          1                1                   .7775275                148572.1                     0  
    at00              12          .   136978.3    12401.43          1                1                   .7705541                145777.8                     0  
    at00              13          .   141166.2    9366.692          1                1                   .7153767                136512.6                     0  
    at00              14          .   145722.5    7129.543          1                1                   .5474175                104482.3                     0  
    at00              15          .   148093.1    13710.39          1                1                   .8854818                167816.1                     0  
    at00              16          .   150890.5    16497.08          1                1                   .8901278                167212.5                     0  
    at00              17          .   153527.2    8315.957          1                1                   .8420225                162160.8                     0  
    at00              18          .   157553.4    8543.722          1                1                   .7680848                147397.8                     0  
    at00              19          .   160273.8    12403.22          1                1                   .7641634                144511.6                     0  
    at00              20          .   162627.8    13196.95          1                1                   .7433914                139965.1                     0  
    at00              21          .   165485.8    13371.42          1                1                   1.170335                224397.7                     0  
    at00              22          .   168261.4    6190.769          1                1                   .9162361                178015.7                     0  
    at00              23          .   171286.4    16103.15          1                1                   1.109389                  210838                     0  
    at00              24          .     174812    17142.78          1                1                   .8521078                159332.2                     0  
    at00              25          .   178633.7    17694.88          1                1                   .7400281                136840.4                     0  
    at00              26          .   181204.9    9466.975          1                1                   .9691237                186695.6                     0  
    at00              27          .   183294.1    11106.49          1                1                   .8377485                159789.1                     0  
    at00              28          .     185562    19412.64          1                1                   .9123145                170011.3                     0  
    at00              29          .     187229    10644.43          1                1                   .8968896                171750.7                     0  
    at00              30          .   188903.9    23469.61          1                1                     .82717                150936.2                     0  
    at00              31          .   191598.5    14339.62          1                1                   1.050205                200084.6                     0  
    at00              32          .   193543.5    27316.18          1                1                   1.029848                188960.3                     0  
    at00              33          .     195490    10055.53          1                1                    .842376                161279.8                     0  
    at00              34          .   197422.2    15238.87          1                1                   1.067479                203012.9                     0  
    at00              35          .   200091.2    12120.24          1                1                   .8139555                154524.3                     0  
    at00              36          .   202715.3    17502.87          1                1                   .9693208                182341.6                     0  
    at00              37          .   204594.5    10999.29          1                1                   1.126312                216978.6                     0  
    at00              38          .   207925.4    2721.976          1                1                   1.114694                219203.5                     0  
    at00              39          .     211503    8444.919          1                1                   .7919174                152170.3                     0  
    at00              40          .   215023.8    11980.21          1                1                   .9904744                189548.8                     0  
    at00              41          .   218129.8    23251.47          1                1                   .9821637                181741.7                     0  
    at00              42          .   220861.5       12096          1                1                   1.070552                205339.4                     0  
    at00              43          .   222752.3    7474.585          1                1                   1.119458                217548.5                     0  
    at00              44          .   225077.5    12728.42          1                1                   1.068536                204594.6                     0  
    at00              45          .   227977.9    23131.42          1                1                   1.012565                187826.3                     0  
    at00              46          .   230033.7    12094.87          1                1                   1.084195                208041.3                     0  
    at00              47          .     233032    6645.135          1                1                   .9424452                182956.3                     0  
    at00              48          .   235408.2    13183.98          1                1                   1.136161                217734.3                     0  
    at00              49          .   238046.4    7710.447          1                1                   .8430555                162696.4                     0  
    at00              50          .   240297.1    12029.45          1                1                   1.075197                206295.6                     0  
    at00              51          .   242712.2    8686.735          1                1                   1.058006                204719.5                     0  
    at00              52          .     244677     16897.5          1                1                   1.196967                227742.9                     0  
    at00              53          .     247593    11279.76          1                1                   1.251637                241637.6                     0  
    at00              54          .   249601.7    7490.538          1                1                   .9949349                192886.3                     0  
    at00              55          .   251710.1     15082.3          1                1                   1.132455                215962.7                     0  
    at00              56          .   254492.9    11255.17          1                1                   1.046959                201128.1                     0  
    at00              57          .   257174.9    12289.42          1                1                    1.16913                224750.7                     0  
    at00              58          .     259989    10133.47          1                1                   1.133169                218809.6                     0  
    at00              59          .   262116.1       10113          1                1                   1.104011                213047.9                     0  
    at00              60          .   266134.6    11727.47          1                1                   1.049887                201449.6                     0  
    at00              61          .   270234.5    19627.56          1                1                   1.226031                232004.7                     0  
    at00              62          .     273238    18928.07          1                1                   1.120158                211425.9                     0  
    at00              63          .   276035.6    9354.361          1                1                   1.133087                219219.3                     0  
    at00              64          .   279595.8    8219.523          1                1                   1.025036                198447.3                     0  
    at00              65          .   281855.8    8896.582          1                1                   1.095421                212012.3                     0  
    at00              66          .   284491.3    18084.55          1                1                    1.36876                261106.2                     0  
    at00              67          .   286798.8    19380.49          1                1                   1.255369                  237948                     0  
    at00              68          .   289856.5     4537.65          1                1                   1.244918                243993.1                     0  
    at00              69          .   294509.8    4540.499          1                1                   1.265391                  248045                     0  
    at00              70          .   298726.4    17372.76          1                1                   1.253563                238688.2                     0  
    at00              71          .   302239.4    19576.99          1                1                   1.260297                238816.4                     0  
    at00              72          .   305331.7    12117.07          1                1                   1.139264                  218932                     0  
    at00              73          .   308348.2     11167.5          1                1                   1.030826                  197982                     0  
    at00              74          .   310852.5    15853.63          1                1                   1.261662                241122.2                     0  
    at00              75          .   314301.5    16210.54          1                1                   1.410861                270465.9                     0  
    at00              76          .   317623.5    9272.052          1                1                   1.229091                238271.5                     0  
    at00              77          .   322384.4    11319.61          1                1                   1.288826                248978.8                     0  
    at00              78          .   328442.3    9888.423          1                1                   1.415789                274897.8                     0  
    at00              79          .   333928.8    18141.14          1                1                   1.352814                257918.2                     0  
    at00              80          .   339899.5    21045.79          1                1                   1.558742                297100.7                     0  
    at00              81          .     345857    7181.552          1                1                   1.243227                  242213                     0  
    at00              82          .   351742.7    9899.183          1                1                   1.409213                273589.9                     0  
    at00              83          .   357968.5    12770.73          1                1                   1.214637                233497.2                     0  
    at00              84          .   363803.3    2149.452          1                1                   1.503024                296399.6                     0  
    at00              85          .   370024.1    12367.97          1                1                   1.292646                249161.8                     0  
    at00              86          .   376876.4    10401.82          1                1                   1.442963                  279997                     0  
    at00              87          .   382776.5     18403.7          1                1                   1.485405                284025.5                     0  
    at00              88          .   390411.1    5535.546          1                1                   1.157248                226090.3                     0  
    at00              89          .   399805.5    6412.061          1                1                   1.364555                266654.7                     0  
    at00              90          .   410397.1    14568.92          1                1                    1.57857                  304567                     0  
    at00              91          .   420533.7    15458.44          1                1                   1.687913                325728.9                     0  
