   ccyy   dhi_quantiles      hmc_q      dhi_q   hmchous_q   hmc_medianized_predict_q   hmc_wor_pred_scaled_q  
    ch00              99   66207.91   133078.6    11550.93                   1.796103                       .  
    ch00             100   84321.72   272020.4    13044.29                   2.615498                       .  
    ch02               1   23165.87   8403.473    5158.792                   .6540837                       .  
    ch02               2   17730.66   15094.62    4657.063                   .6272715                       .  
    ch02               3   19586.94   17543.98    4243.963                   .6025944                       .  
    ch02               4   23285.47   19260.16    5736.694                   .7037488                       .  
    ch02               5   24949.05   20390.46    5983.082                   .6811336                       .  
    ch02               6    26040.6   21534.14    9426.343                   .8231159                       .  
    ch02               7   26034.87   22671.71    5682.004                     .74192                       .  
    ch02               8    25443.9   23447.62    6058.449                   .7552472                       .  
    ch02               9   24411.11   24131.88    8320.087                   .8396315                       .  
    ch02              10   27297.98   24926.12    7869.435                   .8698236                       .  
    ch02              11    25493.1   25686.86    7377.092                   .8324264                       .  
    ch02              12   23076.86   26449.54    6778.066                   .7451001                       .  
    ch02              13   23913.06    27089.1    6322.263                   .8110318                       .  
    ch02              14   23954.06   27542.54    6839.171                    .852576                       .  
    ch02              15   24349.83   28201.76    7656.712                   .8189602                       .  
    ch02              16   32093.53   28924.52    6535.552                    .825768                       .  
    ch02              17   23487.39   29367.86    6999.408                   .8517783                       .  
    ch02              18   23874.56   29771.81    5992.387                   .7856793                       .  
    ch02              19   26636.39   30291.91    7420.675                    .881805                       .  
    ch02              20   26649.66   30783.07    7138.302                   .8737167                       .  
    ch02              21   23346.74   31195.25    6895.744                   .8553804                       .  
    ch02              22   24347.77   31564.11    6392.031                   .8679731                       .  
    ch02              23   29429.44   32051.12    8327.927                   .9454719                       .  
    ch02              24   26016.93   32611.75    6713.522                   .8501843                       .  
    ch02              25   27071.67   33146.79     6560.85                   .8750032                       .  
    ch02              26   29294.22    33596.9    7030.244                   .8934159                       .  
    ch02              27   26415.42   34075.14     5705.59                   .8320771                       .  
    ch02              28   24903.68   34517.01    6160.091                   .8612471                       .  
    ch02              29   29049.98   35015.79     7255.89                   .9386119                       .  
    ch02              30    25069.3   35520.12    4721.305                    .755853                       .  
