ccyy,hmc_mean,dhi_mean,hmchous_mean,hchous_mean,hmc_wor_scaled_mean,hmc_scaled_mean,hmc_wor_pred_scaled_mean,hmc_pred_scaled_mean,dhi_conc_dhi,hmc_conc_dhi,hmc_wor_conc_dhi,tax_eff_ours_conc_dhi,tax_eff_ours_wor_conc_dhi,inc_5_ours_conc_dhi,inc_5_ours_wor_conc_dhi,hmc_medianized_predict_conc_dhi,hmc_wor_pred_conc_dhi,tax_eff_ours_pred_conc_dhi,tax_eff_ours_wor_pred_conc_dhi,inc_5_ours_pred_conc_dhi,inc_5_ours_wor_pred_conc_dhi,inc_5_ours_conc_inc_5_ours,inc_5_ours_wor_conc_inc_5_ours_wor,inc_5_ours_pred_conc_inc_5_ours_pred,inc_5_ours_wor_pred_conc_inc_5_ours_wor_pred,gini_dhi_scope_hmc
it08,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
it10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
it14,10068.162,16807.315,2007.7207,5801.5818,.,.,.,.,.32036825,.1700626,.1932278,.,.,.,.,.19081117,.,.,.,.,.,.,.,.,.,.32036825
lt10,.,18079.266,2881.0086,4987.8143,.,.,16583.266,16657.452,.32321783,.,.,.,.,.,.,.17397649,.17436192,.,.,.,.,.,.,.,.,.
lt13,.,23618.49,3077.5247,5538.7332,.,.,23199.993,23299.183,.34812515,.,.,.,.,.,.,.18644979,.18688107,.,.,.,.,.,.,.,.,.
lu85,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
lu91,.,836492.55,53756.913,53756.919,.,.,.,.,.23792739,.,.,.,.,.,.,.11785522,.,.,.,.,.,.,.,.,.,.
lu94,.,975731.23,55903.786,55903.818,.,.,.,.,.23571171,.,.,.,.,.,.,.10714796,.,.,.,.,.,.,.,.,.,.
lu97,.,1046102.9,88616.163,88616.179,.,.,.,.,.26098365,.,.,.,.,.,.,.11918049,.,.,.,.,.,.,.,.,.,.
lu00,.,1190131,110551.48,318150.45,.,.,.,.,.26254425,.,.,.,.,.,.,.16118269,.,.,.,.,.,.,.,.,.,.
lu04,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
lu07,.,39389.378,3827.5809,12069.066,.,.,.,.,.27668578,.,.,.,.,.,.,.1611219,.,.,.,.,.,.,.,.,.,.
lu10,.,41125.54,4727.3615,12519.07,.,.,.,.,.270532,.,.,.,.,.,.,.15342033,.,.,.,.,.,.,.,.,.,.
lu13,.,43453.228,4594.7911,13472.7,.,.,.,.,.28109955,.,.,.,.,.,.,.15817683,.,.,.,.,.,.,.,.,.,.
mx84,.,252434.03,.,82233.074,.,.,.,.,.432822,.,.,.,.,.,.,.2905126,.,.,.,.,.,.,.,.,.,.
mx89,.,4968883.9,.,1173271.4,.,.,.,.,.47709197,.,.,.,.,.,.,.31660113,.,.,.,.,.,.,.,.,.,.
mx92,.,9937839.1,.,2670856.1,.,.,.,.,.50085796,.,.,.,.,.,.,.33233686,.,.,.,.,.,.,.,.,.,.
mx94,.,11894.543,.,3534.0553,.,.,.,.,.50689919,.,.,.,.,.,.,.34152584,.,.,.,.,.,.,.,.,.,.
mx96,.,16058.272,.,4297.3595,.,.,.,.,.49184438,.,.,.,.,.,.,.32879177,.,.,.,.,.,.,.,.,.,.
mx98,.,24316.653,.,5620.7062,.,.,.,.,.50487873,.,.,.,.,.,.,.33463504,.,.,.,.,.,.,.,.,.,.
mx00,.,36737.15,.,8560.8529,.,.,.,.,.49947089,.,.,.,.,.,.,.35536221,.,.,.,.,.,.,.,.,.,.
mx02,.,40505.149,.,9524.4575,.,.,.,.,.47503887,.,.,.,.,.,.,.32807783,.,.,.,.,.,.,.,.,.,.
mx04,.,46600.777,.,10764.551,.,.,.,42289.858,.47135093,.,.,.,.,.,.,.31398921,.,.31398921,.,.48403023,.,.,.,.48415536,.,.
mx08,41535.617,63809.625,4264.5267,11960.205,54511.169,57931.871,54511.17,57931.869,.48639472,.31476965,.31641761,.31476965,.31641761,.50048288,.50002215,.29922331,.29915155,.29922331,.29915155,.50175903,.5014064,.50098085,.50054311,.50188175,.50151351,.48639472
mx10,47310.804,61312.044,5894.8982,14891.744,54257.918,56246.249,54257.92,56246.248,.46167822,.33080937,.33655829,.33080937,.33655829,.47270384,.47197468,.28206333,.28175713,.28206333,.28175713,.47681067,.47648442,.47334645,.47262403,.47692544,.47658463,.46167822
mx12,51417.548,70563.247,4857.3926,14218.824,64843.603,67117.869,64843.604,67117.869,.46876276,.3506986,.35112299,.3506986,.35112299,.47822186,.47794009,.29187411,.28995363,.29187411,.28995363,.48293479,.48271204,.47884456,.47858827,.48304115,.48280795,.46876276
nl83,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
nl87,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
nl90,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
nl93,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
nl04,.,21030.385,5701.7984,6584.9703,.,.,18149.191,19307.682,.26324726,.,.,.,.,.,.,.15522938,.15832655,.15522938,.15832655,.28583126,.28474107,.,.,.28645288,.28523758,.
nl07,.,24753.705,3309.4139,4247.0671,.,.,21526.5,22861.868,.27431488,.,.,.,.,.,.,.12589781,.13857797,.12589781,.13857798,.30671587,.30329116,.,.,.30710222,.30362694,.
nl10,.,25089.512,3364.195,4355.4214,.,.,21274.817,22761.88,.25440429,.,.,.,.,.,.,.117748,.13091065,.117748,.13091065,.28287447,.27942466,.,.,.28326941,.2796736,.
nl13,.,25810.576,3365.9061,4514.2548,.,.,21836.939,23445.917,.26138041,.,.,.,.,.,.,.11561308,.13067117,.11561308,.13067117,.2914307,.28755934,.,.,.29208353,.28799932,.
no79,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
no86,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
no91,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
no95,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
no00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
no04,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
no07,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
no10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
no13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
pa07,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
pa10,.,5376.8134,106.31046,816.89641,.,.,.,.,.47958864,.,.,.,.,.,.,.32340273,.,.,.,.,.,.,.,.,.,.
pa13,.,7048.0179,158.00804,1213.2641,.,.,.,.,.47155544,.,.,.,.,.,.,.33297941,.,.,.,.,.,.,.,.,.,.
py10,.,20189875,305563.62,2475166.5,.,.,.,.,.51155512,.,.,.,.,.,.,.30824812,.,.,.,.,.,.,.,.,.,.
py13,.,26992419,452737.01,4088104.9,.,.,.,.,.47948854,.,.,.,.,.,.,.29892132,.,.,.,.,.,.,.,.,.,.
pe04,5335.558,7189.5517,579.19798,2313.4115,.,.,.,.,.53571145,.37641038,.36993992,.,.,.,.,.35865403,.,.,.,.,.,.,.,.,.,.53571145
pe07,7020.7594,9315.1539,646.52338,2640.0878,.,.,.,.,.50869092,.36020069,.35742259,.,.,.,.,.34525073,.,.,.,.,.,.,.,.,.,.50869092
pe10,8565.7167,11640.469,753.21626,2865.8331,.,.,.,.,.47693731,.31741204,.31591643,.,.,.,.,.30573487,.,.,.,.,.,.,.,.,.,.47693731
