ccyy,hmc_mean,dhi_mean,hmchous_mean,hchous_mean,hmc_wor_scaled_mean,hmc_scaled_mean,hmc_wor_pred_scaled_mean,hmc_pred_scaled_mean,dhi_conc_dhi,hmc_conc_dhi,hmc_wor_conc_dhi,tax_eff_ours_conc_dhi,tax_eff_ours_wor_conc_dhi,inc_5_ours_conc_dhi,inc_5_ours_wor_conc_dhi,hmc_medianized_predict_conc_dhi,hmc_wor_pred_conc_dhi,tax_eff_ours_pred_conc_dhi,tax_eff_ours_wor_pred_conc_dhi,inc_5_ours_pred_conc_dhi,inc_5_ours_wor_pred_conc_dhi,inc_5_ours_conc_inc_5_ours,inc_5_ours_wor_conc_inc_5_ours_wor,inc_5_ours_pred_conc_inc_5_ours_pred,inc_5_ours_wor_pred_conc_inc_5_ours_wor_pred,gini_dhi_scope_hmc
tw07,308503.6,474622.01,25011.941,91904.928,.,.,.,.,.3069744,.18299743,.18953105,.,.,.,.,.17727197,.,.,.,.,.,.,.,.,.,.3069744
tw10,308648.69,448527.33,26460.394,95649.596,.,.,.,.,.31665086,.18559463,.19272293,.,.,.,.,.18377724,.,.,.,.,.,.,.,.,.,.31665086
tw13,332333.05,471767.7,28220.242,101149.38,.,.,.,.,.30768785,.18563279,.19259137,.,.,.,.,.17686632,.,.,.,.,.,.,.,.,.,.30768785
uk69,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
uk74,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
uk79,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
uk86,5559.8978,5858.0117,534.28645,961.33404,.,.,.,.,.29420843,.1923367,.19783865,.,.,.,.,.21661972,.,.,.,.,.,.,.,.,.,.29420843
uk91,8912.9496,9126.4842,1628.5386,2455.954,.,.,.,.,.33803556,.24917099,.25262452,.,.,.,.,.21434445,.,.,.,.,.,.,.,.,.,.33803556
uk94,.,10626.825,1487.446,1487.4516,.,.,.,.,.34148083,.,.,.,.,.,.,.18885917,.,.,.,.,.,.,.,.,.,.
uk95,10171.379,10483.525,1946.6991,1946.756,9057.1535,9601.1837,9057.1534,9601.1833,.34308493,.218175,.24602257,.218175,.24602257,.36676333,.36130002,.18499246,.19006637,.18499246,.19006637,.37305353,.37180097,.37032789,.3666055,.37375728,.37237851,.34308493
uk99,.,13318.753,763.53561,763.54384,.,.,12271.096,12948.388,.34967491,.,.,.,.,.,.,.07928899,.0923886,.07928899,.0923886,.40322967,.40019719,.,.,.40748216,.40354652,.
uk04,.,17037.724,908.72259,908.74055,.,.,16159.103,16977.439,.35111203,.,.,.,.,.,.,.08892533,.09923552,.08892533,.09923552,.40073578,.39837308,.,.,.40619644,.40281278,.
uk07,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
uk10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
uk13,.,19493.448,4192.867,4192.9129,.,.,17664.019,19037.899,.32130608,.,.,.,.,.,.,.21889806,.22208032,.21889806,.22208032,.34056665,.33969014,.,.,.34273276,.34159832,.
us74,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
us79,.,10817.812,0,909.23678,.,.,.,.,.28752751,.,.,.,.,.,.,.16253982,.,.,.,.,.,.,.,.,.,.
us86,.,17526.41,0,1842.1044,.,.,.,.,.31055565,.,.,.,.,.,.,.18547318,.,.,.,.,.,.,.,.,.,.
us91,.,22369.254,0,2879.1372,.,.,.,.,.31426514,.,.,.,.,.,.,.19304828,.,.,.,.,.,.,.,.,.,.
us94,.,25498.081,0,2788.5531,.,.,.,.,.344246,.,.,.,.,.,.,.19820353,.,.,.,.,.,.,.,.,.,.
us97,.,28957.421,0,2548.4782,.,.,.,.,.35094939,.,.,.,.,.,.,.19225338,.,.,.,.,.,.,.,.,.,.
us00,.,32644.978,0,2821.5574,.,.,.,29686.536,.34806343,.,.,.,.,.,.,.17894659,.,.17894659,.,.35997525,.,.,.,.36026834,.,.
us04,.,36433.411,0,2288.189,.,.,.,32429.601,.34949522,.,.,.,.,.,.,.18151156,.,.18151156,.,.36074163,.,.,.,.36100848,.,.
us07,.,41124.588,0,2633.4504,.,.,.,37170.405,.35161073,.,.,.,.,.,.,.19239068,.,.19239068,.,.36229975,.,.,.,.36260039,.,.
us10,.,42069.059,0,3139.2365,.,.,.,36810.423,.34185302,.,.,.,.,.,.,.18387173,.,.18387173,.,.35144554,.,.,.,.35182131,.,.
us13,.,45137.169,0,3887.7502,.,.,.,39933.12,.35371977,.,.,.,.,.,.,.18283301,.,.18283301,.,.36482845,.,.,.,.36527472,.,.
uy04,.,90020.185,.,33988.429,.,.,.,.,.43430697,.,.,.,.,.,.,.26424984,.,.,.,.,.,.,.,.,.,.
uy07,.,135221.6,337.78118,21041.9,.,.,.,.,.43242762,.,.,.,.,.,.,.27710449,.,.,.,.,.,.,.,.,.,.
uy10,.,191386.16,5647.1934,36220.718,.,.,.,.,.40110834,.,.,.,.,.,.,.26752932,.,.,.,.,.,.,.,.,.,.
uy13,.,266836.62,8793.7315,55736.898,.,.,.,.,.37282547,.,.,.,.,.,.,.24126075,.,.,.,.,.,.,.,.,.,.
uy16,.,361179.24,13819.51,75208.294,.,.,.,.,.36214059,.,.,.,.,.,.,.22535006,.,.,.,.,.,.,.,.,.,.
