    ccyy   dhi_quantiles      hmc_q      dhi_q   hmchous_q   hmc_medianized_predict_q   hmc_wor_pred_scaled_q  
    at04               7          .   9956.538    2483.807                   .7417657                12199.06  
    at04               8          .   10245.01    2443.695                   .7430636                   12230  
    at04               9          .    10626.4    2953.908                   .8186113                13416.97  
    at04              10          .   10951.39    2769.046                   .7970643                13086.92  
    at04              11          .   11273.62    2592.858                   .7665873                12601.69  
    at04              12          .   11607.33    2627.549                   .8033226                13224.88  
    at04              13          .   11900.91      2417.4                   .8188876                13537.43  
    at04              14          .   12140.97    2612.471                   .7986104                13147.23  
    at04              15          .   12424.12    2640.049                   .8088142                13316.47  
    at04              16          .   12667.54     2757.51                   .8091918                13297.62  
    at04              17          .   12953.52     2566.84                   .8523294                14079.33  
    at04              18          .   13245.98    2591.186                   .8510457                14052.04  
    at04              19          .   13466.17    2612.254                   .8061256                 13276.3  
    at04              20          .   13712.75    2555.058                   .8892721                14716.12  
    at04              21          .   13932.88    2794.645                   .8782764                14475.66  
    at04              22          .   14129.01    2799.581                    .878703                14481.92  
    at04              23          .   14343.74    2788.105                   .9057575                14948.88  
    at04              24          .    14558.1    2669.027                   .9005906                14885.85  
    at04              25          .   14818.08     2151.24                    .880836                14658.38  
    at04              26          .   15050.64    2661.167                   .9008494                14891.99  
    at04              27          .   15283.17    2565.651                   .9656677                16025.41  
    at04              28          .   15498.77    2802.357                   .9404044                15540.63  
    at04              29          .   15731.49    2415.751                   .9083105                15073.02  
    at04              30          .   15948.84    2940.439                   .9184784                15134.41  
    at04              31          .   16169.85    2402.358                   .9784873                16280.72  
    at04              32          .   16394.81     2590.34                   .9321691                15444.97  
    at04              33          .   16576.74    2705.927                   .9300535                15383.72  
    at04              34          .   16781.32    2734.463                   .9660415                15995.41  
    at04              35          .   16939.54    2719.835                   .9810022                16255.42  
    at04              36          .    17095.2    2756.468                   1.011453                 16770.3  
    at04              37          .   17258.79    2724.446                   .9561979                15828.58  
    at04              38          .   17450.57    2722.623                   .9747119                16146.82  
    at04              39          .   17651.65    2453.355                   .9683666                16095.96  
    at04              40          .   17883.29    3135.439                   1.013695                16727.06  
    at04              41          .   18087.57    2737.456                   1.010478                16757.67  
    at04              42          .   18316.87    2658.162                   1.032482                17152.54  
    at04              43          .   18521.89    2580.133                   1.005211                16701.16  
    at04              44          .   18712.55    3041.883                   1.037017                17147.63  
    at04              45          .   18963.51    2520.114                   1.024927                17052.61  
    at04              46          .   19206.34     2570.83                   1.075823                17915.45  
    at04              47          .   19406.32    2412.705                   1.021681                17020.04  
    at04              48          .   19644.42    2519.285                   1.017415                16923.82  
    at04              49          .   19869.95    2471.177                   1.028876                17130.96  
    at04              50          .   20070.24    3406.027                   1.089621                17972.21  
    at04              51          .   20246.29    2755.359                   1.064811                 17686.6  
    at04              52          .   20464.35    2978.269                   1.053384                17442.34  
    at04              53          .   20666.83    2578.589                   1.124649                18752.04  
    at04              54          .   20901.35    2917.062                   1.087222                18036.49  
    at04              55          .   21106.81    2852.369                   1.053346                17468.84  
    at04              56          .   21301.79    2402.071                   1.133375                18939.92  
    at04              57          .   21540.14     2740.65                   1.097661                18253.75  
    at04              58          .   21750.96    3029.713                   1.170554                19442.85  
    at04              59          .   21964.15    2545.486                   1.105377                18428.31  
    at04              60          .   22169.63     2826.26                   1.091476                 18129.1  
    at04              61          .   22369.88    3002.803                    1.13853                18898.85  
    at04              62          .    22615.3    2939.244                   1.169891                19450.98  
    at04              63          .   22867.61    2924.694                   1.168119                19423.69  
    at04              64          .   23132.08    2727.345                   1.140268                18988.11  
    at04              65          .   23461.31    2614.928                   1.138099                18975.12  
    at04              66          .   23800.43    2956.876                   1.256899                20940.94  
    at04              67          .   24067.21    3272.007                    1.19642                19834.66  
    at04              68          .   24351.38    2502.056                    1.14504                19118.62  
    at04              69          .   24642.96    2648.024                   1.174326                19589.93  
    at04              70          .   24919.06     2935.36                   1.233106                 20537.1  
    at04              71          .    25274.2    2619.506                   1.208535                20183.39  
    at04              72          .   25579.51    2915.255                   1.239912                20658.29  
    at04              73          .   25891.74     2743.99                   1.229617                20518.48  
    at04              74          .   26197.67     3131.16                   1.202806                19974.68  
    at04              75          .   26595.43    2742.683                   1.254862                20952.18  
    at04              76          .   27027.93    2867.636                    1.28268                21402.81  
    at04              77          .    27552.9    2896.959                   1.310619                21876.15  
    at04              78          .   28043.71    2628.847                   1.345063                22525.32  
    at04              79          .   28462.14    2951.107                   1.319007                22008.46  
    at04              80          .    28987.6    2558.997                   1.280983                21440.23  
    at04              81          .    29476.7     3133.12                   1.368818                22824.38  
    at04              82          .   29968.42    2850.477                   1.330517                22227.78  
    at04              83          .   30410.85     2889.78                   1.316116                21972.06  
    at04              84          .   30922.85    2806.921                   1.301285                21735.32  
    at04              85          .   31411.27    2573.303                   1.347191                22573.83  
    at04              86          .   32053.79     2949.01                   1.434448                23990.84  
    at04              87          .   32689.53     2834.43                   1.421398                23791.51  
    at04              88          .   33521.82    3148.958                   1.454854                24298.04  
    at04              89          .   34417.99    2682.116                   1.433257                24027.96  
    at04              90          .   35471.31    3147.011                   1.521966                25450.66  
    at04              91          .   36554.69    2690.708                   1.539912                25857.18  
    at04              92          .   37787.64    3088.227                   1.593282                 26687.7  
    at04              93          .   39352.05    3045.858                   1.502679                25141.35  
    at04              94          .   40846.99    2996.712                   1.618563                27141.47  
    at04              95          .   43034.39    2983.721                   1.672692                28073.58  
    at04              96          .   45392.38    3405.626                   1.740128                29140.33  
    at04              97          .   48667.35    2839.849                   1.670581                28068.36  
    at04              98          .    53077.6    3184.916                   1.856269                31181.87  
    at04              99          .   63022.19    3219.418                   1.953908                32850.71  
    at04             100          .   91968.09    3535.929                   2.456855                41417.14  
    at07               1          .   1542.092    3278.572                   .7200772                12431.29  
    at07               2          .       5156    3352.624                   .7707792                13341.31  
    at07               3          .   6842.951    3175.264                   .7658345                13290.21  
    at07               4          .   7844.962    2692.476                   .7105185                12386.36  
    at07               5          .    8590.81    3120.193                   .7515898                13042.13  
    at07               6          .   9167.925    3022.312                   .7651854                 13312.2  
    at07               7          .   9690.794    3116.303                   .7678068                 13339.3  
    at07               8          .   10155.71    3068.606                    .786738                13695.76  
    at07               9          .   10481.46    3195.375                   .7662731                13293.78  
    at07              10          .    10875.9    3017.282                   .7993726                13937.97  
    at07              11          .   11269.01    3177.463                    .782271                13590.05  
    at07              12          .   11545.63    3131.135                   .7773399                 13510.2  
    at07              13          .   11931.72    3345.228                   .7836379                13577.89  
    at07              14          .   12285.52    3297.054                   .7927081                13754.28  
    at07              15          .   12639.13    3157.979                   .8155718                14202.82  
    at07              16          .   13007.01    3000.637                   .8175296                14273.41  
    at07              17          .   13351.12    3042.035                   .7928857                13813.97  
    at07              18          .   13712.86    3159.763                   .8206157                14294.58  
    at07              19          .    13929.7    3167.698                   .8316774                14494.94  
    at07              20          .   14211.58     2842.44                   .8136029                14236.67  
    at07              21          .   14500.23    2699.019                   .8248451                14473.83  
    at07              22          .   14769.07    3031.624                   .8387575                14654.42  
    at07              23          .   14985.22    2971.219                   .9001832                15790.13  
    at07              24          .   15231.72    2958.132                   .8761391                 15353.7  
    at07              25          .   15492.95    2873.827                   .8644558                15099.98  
    at07              26          .   15776.75    2953.616                   .8782513                 15393.3  
    at07              27          .   16061.76    2795.417                   .8961212                15754.82  
    at07              28          .   16324.11    3110.111                   .8656213                15127.89  
    at07              29          .   16572.18    3289.672                   .9374109                16404.64  
    at07              30          .   16794.88     2907.89                   .8835865                 15500.9  
    at07              31          .   17061.93    2814.789                   .9083823                15974.56  
    at07              32          .   17286.06     3039.69                   .9347095                16405.82  
    at07              33          .   17542.51      3702.1                   .9646583                16808.45  
    at07              34          .   17778.38    3449.655                   .9608219                 16792.2  
    at07              35          .   18014.28    3243.446                   .9702137                17009.44  
    at07              36          .   18220.93    2933.218                   .9533353                16769.71  
    at07              37          .   18475.67    2738.854                   .9731776                17175.27  
    at07              38          .   18681.87    2739.605                   .9555734                16853.45  
    at07              39          .   18958.13    2892.099                   .9678608                17044.21  
    at07              40          .   19210.02    2848.671                   .9283482                16331.87  
    at07              41          .   19420.72    2599.987                   .9794422                17320.47  
    at07              42          .   19641.08    2901.198                   .9904428                17454.81  
    at07              43          .   19964.37    2702.599                   1.004386                17753.53  
    at07              44          .   20257.78    2801.941                   1.004845                17739.92  
    at07              45          .   20531.86    3070.282                   1.031598                18169.36  
    at07              46          .   20767.34    2732.376                   1.031646                18245.01  
    at07              47          .      21078    3143.007                   1.056137                18601.62  
    at07              48          .   21271.24    3033.691                   1.035668                18251.81  
    at07              49          .   21547.62    2766.375                   1.039889                 18388.1  
    at07              50          .   21807.49    2786.566                   1.032466                   18248  
    at07              51          .   22043.06    2671.872                   1.092695                19373.86  
    at07              52          .   22280.06    3155.875                   1.082222                19075.39  
    at07              53          .   22564.85    2842.783                    1.08111                19124.37  
    at07              54          .   22889.58    2715.381                   1.099555                19489.58  
    at07              55          .   23177.21    3030.854                   1.116046                19721.07  
    at07              56          .   23368.37    3304.758                   1.111567                19578.62  
    at07              57          .   23683.21    2996.181                   1.128438                19955.17  
    at07              58          .   23999.77    2825.809                   1.121459                19865.37  
    at07              59          .   24272.58    2623.413                   1.146242                20362.97  
    at07              60          .   24521.65      3101.8                     1.1159                19702.71  
    at07              61          .   24756.61    3381.396                   1.179171                20796.88  
    at07              62          .   25061.63    2737.994                   1.160536                20598.79  
    at07              63          .   25373.83    3010.342                   1.145437                20262.64  
    at07              64          .   25698.94    3021.783                   1.155913                20451.51  
    at07              65          .   26038.86    2568.987                   1.142707                20310.43  
    at07              66          .   26373.59    2866.894                   1.157986                20523.67  
    at07              67          .   26688.09    3287.037                   1.200518                 21207.8  
    at07              68          .   27041.47    2812.184                   1.165342                20670.19  
    at07              69          .   27473.17    2849.839                   1.186826                21054.39  
    at07              70          .   27827.05    2894.531                   1.217977                21613.68  
    at07              71          .   28291.78    2479.581                   1.216451                21677.63  
    at07              72          .   28691.06    2838.595                    1.22473                21749.44  
    at07              73          .   29071.33    2845.074                    1.20195                21331.79  
    at07              74          .   29369.68    2785.043                   1.222616                21722.68  
    at07              75          .   29813.43    3056.995                   1.257864                22297.74  
    at07              76          .   30374.87    2877.381                   1.275645                22671.16  
    at07              77          .   30880.14    3100.789                   1.311809                23282.49  
    at07              78          .   31416.52    2626.443                   1.242016                22112.25  
    at07              79          .   31809.02    2855.133                   1.345904                23959.83  
    at07              80          .   32342.29     2825.67                    1.28815                22911.09  
    at07              81          .    32811.8    3199.016                   1.325978                23519.63  
