"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2012","2012","AUD","Australian Dollar","6","Millions",,,1536454,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2013","2013","AUD","Australian Dollar","6","Millions",,,1598553,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2014","2014","AUD","Australian Dollar","6","Millions",,,1623207,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2015","2015","AUD","Australian Dollar","6","Millions",,,1657744,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2016","2016","AUD","Australian Dollar","6","Millions",,,1759314,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2017","2017","AUD","Australian Dollar","6","Millions",,,1842946,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2018","2018","AUD","Australian Dollar","6","Millions",,,1946228,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2019","2019","AUD","Australian Dollar","6","Millions",,,1980866,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2020","2020","AUD","Australian Dollar","6","Millions",,,2067010,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","1972","1972","EUR","Euro","6","Millions",,,37057.943,"E","Estimated value"
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","1973","1973","EUR","Euro","6","Millions",,,41997.559,"E","Estimated value"
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","1974","1974","EUR","Euro","6","Millions",,,47801.145,"E","Estimated value"
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","1975","1975","EUR","Euro","6","Millions",,,50702.938,"E","Estimated value"
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","1976","1976","EUR","Euro","6","Millions",,,56006.921,"E","Estimated value"
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","1977","1977","EUR","Euro","6","Millions",,,61911.611,"E","Estimated value"
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","1978","1978","EUR","Euro","6","Millions",,,65483.749,"E","Estimated value"
