"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","1987","1987","AUD","Australian Dollar","6","Millions",,,22082,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","1988","1988","AUD","Australian Dollar","6","Millions",,,25135,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","1989","1989","AUD","Australian Dollar","6","Millions",,,27781,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","1990","1990","AUD","Australian Dollar","6","Millions",,,29873,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","1991","1991","AUD","Australian Dollar","6","Millions",,,31272,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","1992","1992","AUD","Australian Dollar","6","Millions",,,32563,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","1993","1993","AUD","Australian Dollar","6","Millions",,,34020,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","1994","1994","AUD","Australian Dollar","6","Millions",,,35651,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","1995","1995","AUD","Australian Dollar","6","Millions",,,37782,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","1996","1996","AUD","Australian Dollar","6","Millions",,,39944,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","1997","1997","AUD","Australian Dollar","6","Millions",,,42497,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","1998","1998","AUD","Australian Dollar","6","Millions",,,45116,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","1999","1999","AUD","Australian Dollar","6","Millions",,,47881,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","2000","2000","AUD","Australian Dollar","6","Millions",,,51066,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","2001","2001","AUD","Australian Dollar","6","Millions",,,54589,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","2002","2002","AUD","Australian Dollar","6","Millions",,,59186,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","2003","2003","AUD","Australian Dollar","6","Millions",,,64238,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","2004","2004","AUD","Australian Dollar","6","Millions",,,69907,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","2005","2005","AUD","Australian Dollar","6","Millions",,,76212,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","2006","2006","AUD","Australian Dollar","6","Millions",,,83210,,
