"LOCATION","Country","TRANSACT","Transaction","SECTOR","Sector","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","NFB6GR","Disposable income, gross","S14_S15","Households and non-profit institutions serving households","C","Current prices","2005","2005","AUD","Australian Dollar","6","Millions",,,629560,,
"AUS","Australia","NFB6GR","Disposable income, gross","S14_S15","Households and non-profit institutions serving households","C","Current prices","2006","2006","AUD","Australian Dollar","6","Millions",,,687616,,
"AUS","Australia","NFB6GR","Disposable income, gross","S14_S15","Households and non-profit institutions serving households","C","Current prices","2007","2007","AUD","Australian Dollar","6","Millions",,,757878,,
"AUS","Australia","NFB6GR","Disposable income, gross","S14_S15","Households and non-profit institutions serving households","C","Current prices","2008","2008","AUD","Australian Dollar","6","Millions",,,828293,,
"AUS","Australia","NFB6GR","Disposable income, gross","S14_S15","Households and non-profit institutions serving households","C","Current prices","2009","2009","AUD","Australian Dollar","6","Millions",,,862302,,
"AUS","Australia","NFB6GR","Disposable income, gross","S14_S15","Households and non-profit institutions serving households","C","Current prices","2010","2010","AUD","Australian Dollar","6","Millions",,,922243,,
"AUS","Australia","NFB6GR","Disposable income, gross","S14_S15","Households and non-profit institutions serving households","C","Current prices","2011","2011","AUD","Australian Dollar","6","Millions",,,974733,,
"AUS","Australia","NFB6GR","Disposable income, gross","S14_S15","Households and non-profit institutions serving households","C","Current prices","2012","2012","AUD","Australian Dollar","6","Millions",,,1005748,,
"AUS","Australia","NFB6GR","Disposable income, gross","S14_S15","Households and non-profit institutions serving households","C","Current prices","2013","2013","AUD","Australian Dollar","6","Millions",,,1061436,,
"AUT","Austria","NFP31P","Individual consumption expenditure","S14","Households","C","Current prices","1995","1995","EUR","Euro","6","Millions",,,94176.7,,
"AUT","Austria","NFP31P","Individual consumption expenditure","S14","Households","C","Current prices","1996","1996","EUR","Euro","6","Millions",,,98344.6,,
"AUT","Austria","NFP31P","Individual consumption expenditure","S14","Households","C","Current prices","1997","1997","EUR","Euro","6","Millions",,,100240.2,,
"AUT","Austria","NFP31P","Individual consumption expenditure","S14","Households","C","Current prices","1998","1998","EUR","Euro","6","Millions",,,103379.7,,
"AUT","Austria","NFP31P","Individual consumption expenditure","S14","Households","C","Current prices","1999","1999","EUR","Euro","6","Millions",,,105880.3,,
"AUT","Austria","NFP31P","Individual consumption expenditure","S14","Households","C","Current prices","2000","2000","EUR","Euro","6","Millions",,,111481.7,,
"AUT","Austria","NFP31P","Individual consumption expenditure","S14","Households","C","Current prices","2001","2001","EUR","Euro","6","Millions",,,115630.8,,
"AUT","Austria","NFP31P","Individual consumption expenditure","S14","Households","C","Current prices","2002","2002","EUR","Euro","6","Millions",,,117505.1,,
"AUT","Austria","NFP31P","Individual consumption expenditure","S14","Households","C","Current prices","2003","2003","EUR","Euro","6","Millions",,,121396.2,,
"AUT","Austria","NFP31P","Individual consumption expenditure","S14","Households","C","Current prices","2004","2004","EUR","Euro","6","Millions",,,126450.2,,
"AUT","Austria","NFP31P","Individual consumption expenditure","S14","Households","C","Current prices","2005","2005","EUR","Euro","6","Millions",,,132432.5,,
"AUT","Austria","NFP31P","Individual consumption expenditure","S14","Households","C","Current prices","2006","2006","EUR","Euro","6","Millions",,,138117.9,,
"AUT","Austria","NFP31P","Individual consumption expenditure","S14","Households","C","Current prices","2007","2007","EUR","Euro","6","Millions",,,142953,,
"AUT","Austria","NFP31P","Individual consumption expenditure","S14","Households","C","Current prices","2008","2008","EUR","Euro","6","Millions",,,147157.8,,
"AUT","Austria","NFP31P","Individual consumption expenditure","S14","Households","C","Current prices","2009","2009","EUR","Euro","6","Millions",,,148509.9,,
"AUT","Austria","NFP31P","Individual consumption expenditure","S14","Households","C","Current prices","2010","2010","EUR","Euro","6","Millions",,,152703.1,,
"AUT","Austria","NFP31P","Individual consumption expenditure","S14","Households","C","Current prices","2011","2011","EUR","Euro","6","Millions",,,159774.9,,
