"GOV","Level of government","TAX","Tax revenue","VAR","Indicator","COU","Country","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUS","Australia","1998","1998","AUD","Australian Dollar","9","Billions",,,15.083,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUS","Australia","1999","1999","AUD","Australian Dollar","9","Billions",,,15.644,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUS","Australia","2000","2000","AUD","Australian Dollar","9","Billions",,,25.83,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUS","Australia","2001","2001","AUD","Australian Dollar","9","Billions",,,28.18,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUS","Australia","2002","2002","AUD","Australian Dollar","9","Billions",,,32.153,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUS","Australia","2003","2003","AUD","Australian Dollar","9","Billions",,,35.123,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUS","Australia","2004","2004","AUD","Australian Dollar","9","Billions",,,36.637,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUS","Australia","2005","2005","AUD","Australian Dollar","9","Billions",,,40.086,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUS","Australia","2006","2006","AUD","Australian Dollar","9","Billions",,,42.284,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUS","Australia","2007","2007","AUD","Australian Dollar","9","Billions",,,45.486,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUS","Australia","2008","2008","AUD","Australian Dollar","9","Billions",,,43.716,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUS","Australia","2009","2009","AUD","Australian Dollar","9","Billions",,,47.8,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUS","Australia","2010","2010","AUD","Australian Dollar","9","Billions",,,49.329,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUS","Australia","2011","2011","AUD","Australian Dollar","9","Billions",,,50.004,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUS","Australia","2012","2012","AUD","Australian Dollar","9","Billions",,,51.462,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUS","Australia","2013","2013","AUD","Australian Dollar","9","Billions",,,56.819,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUS","Australia","2014","2014","AUD","Australian Dollar","9","Billions",,,57.83,,
"NES","Total","5110","5110 General taxes on goods and services","TAXNAT","Tax revenue in national currency","AUS","Australia","2015","2015","AUD","Australian Dollar","9","Billions",,,61.815,,
