"LOCATION","Country","TRANSACT","Transaction","ACTIVITY","Function","SECTOR","Sector","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BEL","Belgium","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","2007","2007","EUR","Euro","6","Millions",,,39631.7,,
"BEL","Belgium","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","2008","2008","EUR","Euro","6","Millions",,,41896.7,,
"BEL","Belgium","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","2009","2009","EUR","Euro","6","Millions",,,43747.8,,
"BEL","Belgium","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","2010","2010","EUR","Euro","6","Millions",,,44908.6,,
"BEL","Belgium","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","2011","2011","EUR","Euro","6","Millions",,,46770.9,,
"BEL","Belgium","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","2012","2012","EUR","Euro","6","Millions",,,48655,,
"BEL","Belgium","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","2013","2013","EUR","Euro","6","Millions",,,50193.7,,
"BEL","Belgium","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","2014","2014","EUR","Euro","6","Millions",,,50870.6,,
"BEL","Belgium","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","2015","2015","EUR","Euro","6","Millions",,,51170,,
"BEL","Belgium","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","2016","2016","EUR","Euro","6","Millions",,,52608.1,,
"CZE","Czech Republic","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","1995","1995","CZK","Czech Koruna","6","Millions",,,134138,,
"CZE","Czech Republic","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","1996","1996","CZK","Czech Koruna","6","Millions",,,152709,,
"CZE","Czech Republic","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","1997","1997","CZK","Czech Koruna","6","Millions",,,159409,,
"CZE","Czech Republic","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","1998","1998","CZK","Czech Koruna","6","Millions",,,162175,,
"CZE","Czech Republic","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","1999","1999","CZK","Czech Koruna","6","Millions",,,180047,,
"CZE","Czech Republic","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","2000","2000","CZK","Czech Koruna","6","Millions",,,185980,,
"CZE","Czech Republic","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","2001","2001","CZK","Czech Koruna","6","Millions",,,207918,,
"CZE","Czech Republic","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","2002","2002","CZK","Czech Koruna","6","Millions",,,231052,,
"CZE","Czech Republic","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","2003","2003","CZK","Czech Koruna","6","Millions",,,254501,,
"CZE","Czech Republic","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","2004","2004","CZK","Czech Koruna","6","Millions",,,265827,,
"CZE","Czech Republic","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","2005","2005","CZK","Czech Koruna","6","Millions",,,284050,,
"CZE","Czech Republic","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","2006","2006","CZK","Czech Koruna","6","Millions",,,302540,,
"CZE","Czech Republic","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","2007","2007","CZK","Czech Koruna","6","Millions",,,319662,,
"CZE","Czech Republic","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","2008","2008","CZK","Czech Koruna","6","Millions",,,334308,,
"CZE","Czech Republic","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","2009","2009","CZK","Czech Koruna","6","Millions",,,352049,,
"CZE","Czech Republic","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","2010","2010","CZK","Czech Koruna","6","Millions",,,353594,,
"CZE","Czech Republic","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","2011","2011","CZK","Czech Koruna","6","Millions",,,349916,,
"CZE","Czech Republic","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","2012","2012","CZK","Czech Koruna","6","Millions",,,359397,,
"CZE","Czech Republic","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","2013","2013","CZK","Czech Koruna","6","Millions",,,366707,,
"CZE","Czech Republic","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","2014","2014","CZK","Czech Koruna","6","Millions",,,379553,,
"CZE","Czech Republic","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","2015","2015","CZK","Czech Koruna","6","Millions",,,397775,,
"CZE","Czech Republic","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","2016","2016","CZK","Czech Koruna","6","Millions",,,419374,,
"DNK","Denmark","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","1995","1995","DKK","Danish Krone","6","Millions",,,166561,,
"DNK","Denmark","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","1996","1996","DKK","Danish Krone","6","Millions",,,174506,,
"DNK","Denmark","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","1997","1997","DKK","Danish Krone","6","Millions",,,180756,,
"DNK","Denmark","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","1998","1998","DKK","Danish Krone","6","Millions",,,190199,,
"DNK","Denmark","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","1999","1999","DKK","Danish Krone","6","Millions",,,199651,,
"DNK","Denmark","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","2000","2000","DKK","Danish Krone","6","Millions",,,205919,,
"DNK","Denmark","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","2001","2001","DKK","Danish Krone","6","Millions",,,216008,,
"DNK","Denmark","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","2002","2002","DKK","Danish Krone","6","Millions",,,226141,,
"DNK","Denmark","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","2003","2003","DKK","Danish Krone","6","Millions",,,234021,,
"DNK","Denmark","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","2004","2004","DKK","Danish Krone","6","Millions",,,242249,,
"DNK","Denmark","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","2005","2005","DKK","Danish Krone","6","Millions",,,248219,,
"DNK","Denmark","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","2006","2006","DKK","Danish Krone","6","Millions",,,258859,,
"DNK","Denmark","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","2007","2007","DKK","Danish Krone","6","Millions",,,266782,,
