"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","P31CP041","Actual rentals for housing","C","Current prices","2002","2002","AUD","Australian Dollar","6","Millions",,,20234,,
"AUS","Australia","P31CP041","Actual rentals for housing","C","Current prices","2003","2003","AUD","Australian Dollar","6","Millions",,,21046,,
"AUS","Australia","P31CP041","Actual rentals for housing","C","Current prices","2004","2004","AUD","Australian Dollar","6","Millions",,,21871,,
"AUS","Australia","P31CP041","Actual rentals for housing","C","Current prices","2005","2005","AUD","Australian Dollar","6","Millions",,,22736,,
"AUS","Australia","P31CP041","Actual rentals for housing","C","Current prices","2006","2006","AUD","Australian Dollar","6","Millions",,,24466,,
"AUS","Australia","P31CP041","Actual rentals for housing","C","Current prices","2007","2007","AUD","Australian Dollar","6","Millions",,,26630,,
"AUS","Australia","P31CP041","Actual rentals for housing","C","Current prices","2008","2008","AUD","Australian Dollar","6","Millions",,,29417,,
"AUS","Australia","P31CP041","Actual rentals for housing","C","Current prices","2009","2009","AUD","Australian Dollar","6","Millions",,,31598,,
"AUS","Australia","P31CP041","Actual rentals for housing","C","Current prices","2010","2010","AUD","Australian Dollar","6","Millions",,,33749,,
"AUS","Australia","P31CP041","Actual rentals for housing","C","Current prices","2011","2011","AUD","Australian Dollar","6","Millions",,,36280,,
"AUS","Australia","P31CP041","Actual rentals for housing","C","Current prices","2012","2012","AUD","Australian Dollar","6","Millions",,,38787,,
"AUS","Australia","P31CP041","Actual rentals for housing","C","Current prices","2013","2013","AUD","Australian Dollar","6","Millions",,,41345,,
"AUS","Australia","P31CP041","Actual rentals for housing","C","Current prices","2014","2014","AUD","Australian Dollar","6","Millions",,,43401,,
"AUS","Australia","P31CP041","Actual rentals for housing","C","Current prices","2015","2015","AUD","Australian Dollar","6","Millions",,,45077,,
"AUS","Australia","P31CP041","Actual rentals for housing","C","Current prices","2016","2016","AUD","Australian Dollar","6","Millions",,,46524,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","1959","1959","AUD","Australian Dollar","6","Millions",,,534,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","1960","1960","AUD","Australian Dollar","6","Millions",,,616,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","1961","1961","AUD","Australian Dollar","6","Millions",,,689,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","1962","1962","AUD","Australian Dollar","6","Millions",,,765,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","1963","1963","AUD","Australian Dollar","6","Millions",,,846,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","1964","1964","AUD","Australian Dollar","6","Millions",,,919,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","1965","1965","AUD","Australian Dollar","6","Millions",,,1000,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","1966","1966","AUD","Australian Dollar","6","Millions",,,1108,,
"AUS","Australia","P31CP042","Imputed rentals for housing","C","Current prices","1967","1967","AUD","Australian Dollar","6","Millions",,,1221,,
