    ccyy     av_hmc   av_hmc_wor   av_hmc_wor_scaled   av_hmc_scaled   av_tax_eff_ours   av_tax_eff_ours_wor   av_inc_5_ours   av_inc_5_ours_wor    av_inc1    av_inc2    av_inc3    av_inc4   av_inc_5_ours_pred   av_inc_5_ours_wor_pred  
    ee04          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                 .9949251  
    ee07          0            0                   0               0                 0                     0               0                   0   .9848037   .9848037   .9848037   .9848037                    1                        1  
    ee10          0            0                   0               0                 0                     0               0                   0   .9867576   .9867576   .9867576   .9867576                    1                 .9997994  
    ee13          0            0                   0               0                 0                     0               0                   0   .9879812   .9879812   .9879812   .9879812                    1                 .9998258  
    eg12          0            0                   0               0                 0                     0               0                   0          1          1          1          0                    0                        0  
    es00          0            0                   0               0                 0                     0               0                   0          1          1          1          0                    1                        1  
    es04          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                 .8215201  
    es07          0            0                   0               0                 0                     0               0                   0   .9921175   .9921175   .9921175   .9921175                    1                 .9981453  
    es10          0            0                   0               0                 0                     0               0                   0   .9834999   .9834999   .9834999   .9834999                    1                 .9990704  
    es13          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                 .9998314  
    es80          1            1                   0               0                 0                     0               0                   0          1          0          0          0                    0                        0  
    es85          1            1                   0               0                 0                     0               0                   0          1          0          0          0                    0                        0  
    es90          1            1                   0               0                 0                     0               0                   0          1          1          1          0                    0                        0  
    es95          0            0                   0               0                 0                     0               0                   0          1          1          1          0                    0                        0  
    fi00          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                        1  
    fi04          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                 .9998217  
    fi07          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                        1  
    fi10          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                        1  
    fi13          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                        1  
    fi87          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    fi91          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    fi95          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                        1  
    fr00          1            1                   1               1                 1                     1               1                   1          1          1          1          1                    1                        1  
    fr05          1            1                   1               1                 1                     1               1                   1          1          1          1          1                    1                        1  
    fr10          1            1                   1               1                 1                     1               1                   1          1          1          1          1                    1                        1  
    fr78          1            1                   1               1                 1                     1               1                   1          0          0          0          0                    1                        1  
    fr84          1            1                   1               1                 1                     1               1                   1          0          0          0          0                    1                        1  
    fr89          1            1                   1               1                 1                     1               1                   1          0          0          0          0                    1                        1  
    fr94   .8530923     .8530923            .8530923        .8530923          .8530923              .8530923        .8530923            .8530923          0          0          0          0                    1                 .8530923  
    ge10          1            1                   0               0                 0                     0               0                   0          1          1          1          0                    0                        0  
    ge13          1            1                   0               0                 0                     0               0                   0          1          1          1          0                    0                        0  
    gr00          0            0                   0               0                 0                     0               0                   0          1          1          1          0                    1                        0  
    gr04          0            0                   0               0                 0                     0               0                   0          1          1          1          0                    1                        1  
    gr07          0            0                   0               0                 0                     0               0                   0   .9899194   .9899194   .9899194   .9899194                    1                        1  
    gr10          0            0                   0               0                 0                     0               0                   0   .9829174   .9829174   .9829174   .9829174                    1                        1  
    gr13          0            0                   0               0                 0                     0               0                   0   .9873285   .9873285   .9873285   .9873285                    1                        1  
    gr95          0            0                   0               0                 0                     0               0                   0          1          1          1          0                    1                        0  
    gt06          1            1                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    gt11          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    gt14          1            1                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    hu05   .4886026     .4886026            .4886026        .4886026          .4886026              .4886026        .4886026            .4886026          1   .9390486   .9390486          0                    1                 .5406343  
    hu07    .567623      .567623             .567623         .567623           .567623               .567623         .567623             .567623          1   .9272541   .9272541          0                    1                 .6362705  
    hu09   .2163655     .2163655            .2163655        .2163655          .2163655              .2163655        .2163655            .2163655          1   .9533132   .9533132          0                    1                 .2615462  
    hu12   .4628345     .4628345            .4628345        .4628345          .4628345              .4628345        .4628345            .4628345          1   .9588702   .9588702          0                    1                 .5133796  
    hu91          1            1                   0               0                 0                     0               0                   0          1          1          1          0                    0                        0  
    hu94          1            1                   0               0                 0                     0               0                   0          1          1          1          0                    0                        0  
    ie04          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                 .9911155  
    ie07          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                  .996557  
    ie10          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                 .9988378  
    ie87          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    ie94          0            0                   0               0                 0                     0               0                   0          1          1          1          0                    0                        0  
    ie95          0            0                   0               0                 0                     0               0                   0          1          1          1          0                    0                        0  
    ie96          0            0                   0               0                 0                     0               0                   0          1          1          1          0                    0                        0  
    il01          1            1                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    il05          1            1                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    il07          1            1                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    il10          1            1                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    il12          1            1                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    il79          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    il86          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    il92          1            1                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    il97          1            1                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    in04          1            1                   0               0                 0                     0               0                   0          1          1          1          0                    0                        0  
    in11          1            1                   0               0                 0                     0               0                   0          1          1          1          0                    0                        0  
    is04          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                 .9890448  
    is07          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                 .9889004  
    is10          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                 .9767827  
    it00          1            0                   0               1                 1                     0               1                   0          1          1          1          0                    1                        0  
    it04          1            0                   0               1                 1                     0               1                   0          1          1          1          1                    1                        0  
    it08          1            0                   0               1                 1                     0               1                   0          1          1          1          1                    1                        0  
    it10          1            0                   0               1                 1                     0               1                   0          1          1          1          1                    1                        0  
    it14          1            1                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    it86          0            0                   0               0                 0                     0               0                   0          1          0          0          0                    0                        0  
    it87          0            0                   0               0                 0                     0               0                   0          1          1          1          0                    0                        0  
    it89          0            0                   0               0                 0                     0               0                   0          1          1          1          0                    0                        0  
    it91          0            0                   0               0                 0                     0               0                   0          1          1          1          0                    0                        0  
    it93          0            0                   0               0                 0                     0               0                   0          1          1          1          0                    0                        0  
    it95          1            0                   0               1                 1                     0               1                   0          1          1          1          0                    1                        0  
    it98          1            0                   0               1                 1                     0               1                   0          1          1          1          0                    1                        0  
    kr06          1            1                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    kr08          1            1                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    kr10          1            1                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    kr12          1            1                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    lt10          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    lt13          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    lu00          0            0                   0               0                 0                     0               0                   0          1          1          1          0                    0                        0  
    lu04          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    lu07          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    lu10          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    lu13          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    lu85          0            0                   0               0                 0                     0               0                   0          1          1          1          0                    0                        0  
    lu91          0            0                   0               0                 0                     0               0                   0          1          1          1          0                    0                        0  
    lu94          0            0                   0               0                 0                     0               0                   0          1          1          1          0                    0                        0  
    lu97          0            0                   0               0                 0                     0               0                   0          1          1          1          0                    0                        0  
    mx00          0            0                   0               0                 0                     0               0                   0          1          1          1          0                    0                        0  
    mx02          0            0                   0               0                 0                     0               0                   0          1          1          1          0                    0                        0  
    mx04          0            0                   0               0                 0                     0               0                   0          1          1          1          0                    1                        1  
    mx08          1            1                   1               1                 1                     1               1                   1          1          1          1          0                    1                        1  
    mx10          1            1                   1               1                 1                     1               1                   1          1          1          1          0                    1                        1  
    mx12          1            1                   1               1                 1                     1               1                   1          1          1          1          0                    1                        1  
    mx84          0            0                   0               0                 0                     0               0                   0          1          1          1          0                    0                        0  
    mx89          0            0                   0               0                 0                     0               0                   0          1          1          1          0                    0                        0  
    mx92          0            0                   0               0                 0                     0               0                   0          1          1          1          0                    0                        0  
    mx94          0            0                   0               0                 0                     0               0                   0          1          1          1          0                    0                        0  
    mx96          0            0                   0               0                 0                     0               0                   0          1          1          1          0                    0                        0  
    mx98          0            0                   0               0                 0                     0               0                   0          1          1          1          0                    0                        0  
    nl04          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                 .9964649  
    nl07          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                 .9970942  
    nl10          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                  .994176  
    nl13          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                 .9945861  
    nl83          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    nl87          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    nl90          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    nl93          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    0                        0  
    no00          0            0                   0               0                 0                     0               0                   0          1          1          1          1                    1                        1  
